Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
run_20250716_185411,meta-llama/Meta-Llama-3-8B,1,1,1,512,512,8,0.5,512,0.7,0.9,9246.830908457438,9241.450071334839,10073.952794075012,10206.61716222763,203.6177396774292,203.50003242492676,215.79241752624512,253.27771186828616,17.864893362893586,16.97373390197754,19.147276878356934,43.43751668930054,204.10120772009674,30,61342,15216
run_20250716_185558,meta-llama/Meta-Llama-3-8B,2,1,1,512,512,8,0.5,512,0.7,0.9,9025.014615058899,9052.412748336792,9441.25542640686,9604.648768901825,202.74856885274252,198.1111764907837,214.15627002716067,286.0116076469422,17.438745894529152,16.74342155456543,17.199277877807617,42.34230995178223,207.0955714883576,30,61342,15207
run_20250716_185742,meta-llama/Meta-Llama-3-8B,4,1,1,512,512,8,0.5,512,0.7,0.9,10553.899574279785,10861.915111541748,11154.214358329773,11271.580066680908,204.15107409159342,204.19061183929443,212.22593784332275,237.8141021728516,20.253901985526785,20.433664321899414,20.696640014648438,42.33897924423218,228.97059537863504,30,61342,15360
run_20250716_185922,meta-llama/Meta-Llama-3-8B,8,1,1,512,512,8,0.5,512,0.7,0.9,9088.2439215978,9159.184455871582,9713.038516044617,10028.244473934174,198.75214099884033,196.0529088973999,215.9872055053711,234.35703992843628,17.699913726343823,16.384363174438477,19.13142204284668,40.5312442779541,177.70461394836258,30,61342,15100
run_20250716_190123,meta-llama/Meta-Llama-3-8B,1,2,1,512,512,8,0.5,512,0.7,0.9,11150.48094590505,11174.597024917603,11242.888593673706,11546.17381811142,173.40478897094727,147.28260040283203,165.02370834350586,644.8159241676335,21.481550136424325,21.13163471221924,24.47965145111084,30.184423923492368,250.02251149991957,30,61342,15360
run_20250716_190341,meta-llama/Meta-Llama-3-8B,2,2,1,512,512,8,0.5,512,0.7,0.9,12049.999396006266,12249.773979187012,12747.055864334106,12775.40402173996,159.50323740641275,156.21638298034668,178.46827507019043,228.45171689987185,23.34062332243677,23.173093795776367,27.106237411499023,30.66333770751953,195.79956556402362,30,61342,15316
run_20250716_190554,meta-llama/Meta-Llama-3-8B,4,2,1,512,512,8,0.5,512,0.7,0.9,10933.838303883871,11076.213836669922,11242.903113365173,11284.937357902527,166.8557087580363,155.0678014755249,238.6312961578369,265.1212668418884,21.242227379340928,21.030068397521973,23.32282066345215,29.636657238006595,207.52692951038875,30,61342,15236
run_20250716_190807,meta-llama/Meta-Llama-3-8B,1,4,1,512,512,8,0.5,512,0.7,0.9,12136.01693312327,12234.273076057434,12270.956015586853,12699.069833755493,152.14170614878336,130.2356719970703,140.57829380035403,610.8630061149603,23.657044650865572,23.735761642456055,24.566078186035153,28.304891586303707,264.24013849761633,30,61342,15227
run_20250716_190940,meta-llama/Meta-Llama-3-8B,2,4,1,512,512,8,0.5,512,0.7,0.9,11782.623147964478,11699.409008026123,12932.228875160217,13014.152677059174,139.11654949188232,133.37934017181396,157.52177238464358,219.14545059204107,23.183451545747232,23.017406463623047,25.77495574951172,31.056580543518066,214.71892387083176,30,61342,15097
run_20250716_191156,meta-llama/Meta-Llama-3-8B,1,8,1,512,512,8,0.5,512,0.7,0.9,10864.567057291666,10818.074345588684,11132.382583618164,11597.05236196518,135.1877212524414,114.13276195526123,124.34515953063966,599.3698620796209,20.996818912628033,20.9273099899292,22.758436203002937,28.752527236938477,238.65686116395196,30,61342,15360
