Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,36.575957493333334,37.709970999999996,40.6559595,41.0364923,21.963139726666668,23.800784,28.0755784,28.26966932
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,13.366455226666666,13.7533895,14.139805500000001,14.20417893,8.957348186666668,9.5643735,11.2400919,11.27120428
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,20.436940613333334,20.416275,20.5620197,20.68142144,15.254316466666666,15.479731,19.663831,20.45018422
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,12.030191313333333,12.0682525,13.184867,13.55906366,10.92230752,10.945778,13.086818699999998,13.54687295
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,8.526955046666666,8.5671955,9.5704374,9.80644111,8.515666860000001,8.5514975,9.5628528,9.80644111
