cdf,prefill_time_execution_plus_preemption,replica
0.0,0.1327257507833406,0
0.01,0.1522625507853302,0
0.02,0.1717993507873198,0
0.03,0.1913361507893094,0
0.04,0.21087295079129903,0
0.05,0.23040975079328863,0
0.06,0.24994655079527822,0
0.07,0.2743393753446644,0
0.08,0.30844424898884365,0
0.09,0.3425491226330229,0
0.1,0.3766539962772022,0
0.11,0.41075886992138144,0
0.12,0.4448637435655607,0
0.13,0.47896861720974004,0
0.14,0.5004712916220134,0
0.15,0.5156728664183339,0
0.16,0.5308744412146543,0
0.17,0.5460760160109749,0
0.18,0.5612775908072952,0
0.19,0.5764791656036158,0
0.2,0.5916807403999362,0
0.21,0.6004572410002958,0
0.22,0.6092337416006555,0
0.23,0.6180102422010152,0
0.24,0.6267867428013748,0
0.25,0.6355632434017344,0
0.26,0.644339744002094,0
0.27,0.6554205982894145,0
0.28,0.6711101599506563,0
0.29,0.6867997216118981,0
0.3,0.70248928327314,0
0.31,0.7181788449343819,0
0.32,0.7338684065956237,0
0.33,0.7495579682568655,0
0.34,0.7892844052930231,0
0.35000000000000003,0.8410292800166381,0
0.36,0.8927741547402531,0
0.37,0.9445190294638685,0
0.38,0.9962639041874838,0
0.39,1.048008778911099,0
0.4,1.0997536536347141,0
0.41000000000000003,1.1222108791590477,0
0.42,1.1446681046833813,0
0.43,1.1671253302077151,0
0.44,1.1895825557320487,0
0.45,1.2120397812563823,0
0.46,1.234497006780716,0
0.47000000000000003,1.2542450318866645,0
0.48,1.2685746561558429,0
0.49,1.2829042804250215,0
0.5,1.2972339046941999,0
0.51,1.3115635289633782,0
0.52,1.3258931532325569,0
0.53,1.3402227775017352,0
0.54,1.3488439006193726,0
0.55,1.3546107731612393,0
0.56,1.3603776457031063,0
0.5700000000000001,1.366144518244973,0
0.58,1.3719113907868399,0
0.59,1.3776782633287066,0
0.6,1.3834451358705735,0
0.61,1.4061254353568189,0
0.62,1.4288057348430643,0
0.63,1.4514860343293092,0
0.64,1.4741663338155546,0
0.65,1.4968466333018,0
0.66,1.5195269327880454,0
0.67,1.5547162018494467,0
0.68,1.6149234100611598,0
0.6900000000000001,1.6751306182728722,0
0.7000000000000001,1.7353378264845853,0
0.71,1.7955450346962978,0
0.72,1.8557522429080109,0
0.73,1.915959451119724,0
0.74,1.9698446931366513,0
0.75,2.020568952056186,0
0.76,2.0712932109757203,0
0.77,2.1220174698952547,0
0.78,2.172741728814789,0
0.79,2.2234659877343232,0
0.8,2.2741902466538573,0
0.81,2.3582600501765048,0
0.8200000000000001,2.442329853699151,0
0.8300000000000001,2.5263996572217984,0
0.84,2.610469460744446,0
0.85,2.6945392642670933,0
0.86,2.778609067789741,0
0.87,2.905705400547634,0
0.88,3.118854791776015,0
0.89,3.3320041830043987,0
0.9,3.545153574232782,0
0.91,3.7583029654611657,0
0.92,3.971452356689549,0
0.93,4.184601747917933,0
0.9400000000000001,4.290408171108489,0
0.9500000000000001,4.342543110280136,0
0.96,4.394678049451781,0
0.97,4.446812988623427,0
0.98,4.498947927795074,0
0.99,4.55108286696672,0
1.0,4.603217806138366,0
0.0,0.3962611186523155,1
0.01,0.40934714393544647,1
0.02,0.4224331692185775,1
0.03,0.43551919450170845,1
0.04,0.44860521978483947,1
0.05,0.46169124506797043,1
0.06,0.4747772703511014,1
0.07,0.49029517460994526,1
0.08,0.5106768368202147,1
0.09,0.5310584990304841,1
0.1,0.5514401612407536,1
0.11,0.5718218234510231,1
0.12,0.5922034856612924,1
0.13,0.6125851478715619,1
0.14,0.6323516072754455,1
0.15,0.6518104652761361,1
0.16,0.6712693232768266,1
0.17,0.6907281812775173,1
0.18,0.7101870392782078,1
0.19,0.7296458972788985,1
0.2,0.7491047552795891,1
0.21,0.7598915397508917,1
0.22,0.7706783242221943,1
0.23,0.781465108693497,1
0.24,0.7922518931647995,1
0.25,0.8030386776361021,1
0.26,0.8138254621074048,1
0.27,0.8360192420914174,1
0.28,0.8810270131008493,1
0.29,0.9260347841102813,1
0.3,0.9710425551197135,1
0.31,1.0160503261291456,1
0.32,1.0610580971385775,1
0.33,1.1060658681480098,1
0.34,1.1287409832619844,1
0.35000000000000003,1.1402497704282304,1
0.36,1.1517585575944764,1
0.37,1.1632673447607225,1
0.38,1.1747761319269685,1
0.39,1.1862849190932145,1
0.4,1.1977937062594606,1
0.41000000000000003,1.1997817692183916,1
0.42,1.2017698321773227,1
0.43,1.203757895136254,1
0.44,1.205745958095185,1
0.45,1.207734021054116,1
0.46,1.2097220840130471,1
0.47000000000000003,1.2327614622980172,1
0.48,1.2979034712350648,1
0.49,1.363045480172113,1
0.5,1.428187489109161,1
0.51,1.493329498046209,1
0.52,1.5584715069832573,1
0.53,1.623613515920305,1
0.54,1.6674695294726254,1
0.55,1.7006825453325816,1
0.56,1.7338955611925382,1
0.5700000000000001,1.7671085770524946,1
0.58,1.8003215929124508,1
0.59,1.8335346087724071,1
0.6,1.8667476246323638,1
0.61,1.8723863861388754,1
0.62,1.878025147645387,1
0.63,1.8836639091518985,1
0.64,1.8893026706584102,1
0.65,1.8949414321649218,1
0.66,1.9005801936714335,1
0.67,1.9269829966562644,1
0.68,1.9949138825977335,1
0.6900000000000001,2.0628447685392017,1
0.7000000000000001,2.130775654480671,1
0.71,2.198706540422139,1
0.72,2.266637426363608,1
0.73,2.3345683123050773,1
0.74,2.4928898579802223,1
0.75,2.696406733522206,1
0.76,2.8999236090641896,1
0.77,3.1034404846061734,1
0.78,3.306957360148157,1
0.79,3.510474235690141,1
0.8,3.713991111232122,1
0.81,3.8254905034737035,1
0.8200000000000001,3.936989895715283,1
0.8300000000000001,4.048489287956864,1
0.84,4.159988680198445,1
0.85,4.271488072440026,1
0.86,4.382987464681607,1
0.87,4.683045094065334,1
0.88,5.360219197733338,1
0.89,6.037393301401351,1
0.9,6.714567405069363,1
0.91,7.391741508737375,1
0.92,8.068915612405387,1
0.93,8.7460897160734,1
0.9400000000000001,12.427138642011386,1
0.9500000000000001,17.610124979084397,1
0.96,22.79311131615735,1
0.97,27.97609765323036,1
0.98,33.15908399030337,1
0.99,38.34207032737639,1
1.0,43.5250566644494,1
0.0,0.17295372766623007,2
0.01,0.18790704985540824,2
0.02,0.20286037204458643,2
0.03,0.2178136942337646,2
0.04,0.23276701642294279,2
0.05,0.24772033861212095,2
0.06,0.2626736608012991,2
0.07,0.27265301904381045,2
0.08,0.2726844493929882,2
0.09,0.2727158797421659,2
0.1,0.27274731009134356,2
0.11,0.27277874044052125,2
0.12,0.27281017078969894,2
0.13,0.2728416011388767,2
0.14,0.2735182651973137,2
0.15,0.2745175461103804,2
0.16,0.27551682702344704,2
0.17,0.27651610793651377,2
0.18,0.27751538884958044,2
0.19,0.27851466976264716,2
0.2,0.27951395067571383,2
0.21,0.2870863485854255,2
0.22,0.29465874649513707,2
0.23,0.3022311444048487,2
0.24,0.3098035423145603,2
0.25,0.31737594022427196,2
0.26,0.3249483381339836,2
0.27,0.3318082314391248,2
0.28,0.3372431155351251,2
0.29,0.3426779996311254,2
0.3,0.3481128837271257,2
0.31,0.35354776782312597,2
0.32,0.35898265191912626,2
0.33,0.3644175360151266,2
0.34,0.3749221690638088,2
0.35000000000000003,0.38796167658883185,2
0.36,0.4010011841138549,2
0.37,0.414040691638878,2
0.38,0.42708019916390116,2
0.39,0.4401197066889243,2
0.4,0.45315921421394734,2
0.41000000000000003,0.5073426625224086,2
0.42,0.5615261108308702,2
0.43,0.6157095591393318,2
0.44,0.6698930074477931,2
0.45,0.7240764557562547,2
0.46,0.7782599040647162,2
0.47000000000000003,0.8505296894751533,2
0.48,0.9589721490895415,2
0.49,1.0674146087039307,2
0.5,1.1758570683183196,2
0.51,1.2842995279327085,2
0.52,1.3927419875470977,2
0.53,1.501184447161486,2
0.54,1.5533326180281941,2
0.55,1.5773336445210615,2
0.56,1.6013346710139291,2
0.5700000000000001,1.6253356975067967,2
0.58,1.6493367239996641,2
0.59,1.673337750492532,2
0.6,1.6973387769853996,2
0.61,1.7070662521512672,2
0.62,1.7167937273171348,2
0.63,1.7265212024830021,2
0.64,1.7362486776488697,2
0.65,1.7459761528147373,2
0.66,1.7557036279806049,2
0.67,1.7843753106574807,2
0.68,1.8509354083563725,2
0.6900000000000001,1.9174955060552636,2
0.7000000000000001,1.9840556037541557,2
0.71,2.050615701453047,2
0.72,2.117175799151939,2
0.73,2.1837358968508305,2
0.74,2.2745030614037955,2
0.75,2.377373759383797,2
0.76,2.4802444573637983,2
0.77,2.5831151553438,2
0.78,2.6859858533238015,2
0.79,2.788856551303803,2
0.8,2.8917272492838033,2
0.81,3.0694000591016746,2
0.8200000000000001,3.2470728689195436,2
0.8300000000000001,3.4247456787374144,2
0.84,3.6024184885552857,2
0.85,3.7800912983731565,2
0.86,3.9577641081910278,2
0.87,4.223875598691088,2
0.88,4.66686445055552,2
0.89,5.109853302419957,2
0.9,5.552842154284393,2
0.91,5.995831006148831,2
0.92,6.438819858013267,2
0.93,6.8818087098777045,2
0.9400000000000001,7.386455506192729,2
0.9500000000000001,7.921931274733056,2
0.96,8.457407043273376,2
0.97,8.992882811813702,2
0.98,9.52835858035403,2
0.99,10.063834348894357,2
1.0,10.599310117434683,2
0.0,0.1246795216263763,3
0.01,0.125566308903176,3
0.02,0.1264530961799757,3
0.03,0.12733988345677538,3
0.04,0.12822667073357508,3
0.05,0.12911345801037477,3
0.06,0.13000024528717447,3
0.07,0.13392497326596703,3
0.08,0.1439255826487454,3
0.09,0.1539261920315237,3
0.1,0.16392680141430205,3
0.11,0.17392741079708038,3
0.12,0.1839280201798587,3
0.13,0.19392862956263707,3
0.14,0.2025659197518145,3
0.15,0.2105215503441915,3
0.16,0.2184771809365685,3
0.17,0.22643281152894554,3
0.18,0.2343884421213225,3
0.19,0.24234407271369954,3
0.2,0.25029970330607654,3
0.21,0.2519268840425907,3
0.22,0.25355406477910497,3
0.23,0.25518124551561916,3
0.24,0.25680842625213335,3
0.25,0.25843560698864754,3
0.26,0.2600627877251618,3
0.27,0.2834000860402976,3
0.28,0.35015761951267554,3
0.29,0.4169151529850535,3
0.3,0.48367268645743183,3
0.31,0.5504302199298101,3
0.32,0.6171877534021881,3
0.33,0.6839452868745665,3
0.34,0.7329525491797012,3
0.35000000000000003,0.773084675901214,3
0.36,0.8132168026227268,3
0.37,0.8533489293442398,3
0.38,0.8934810560657529,3
0.39,0.9336131827872659,3
0.4,0.9737453095087787,3
0.41000000000000003,1.0796920305532467,3
0.42,1.1856387515977154,3
0.43,1.2915854726421838,3
0.44,1.3975321936866518,3
0.45,1.5034789147311205,3
0.46,1.6094256357755892,3
0.47000000000000003,1.7152746015020135,3
0.48,1.820928056592351,3
0.49,1.9265815116826888,3
0.5,2.032234966773027,3
0.51,2.137888421863365,3
0.52,2.243541876953703,3
0.53,2.34919533204404,3
0.54,2.389975360372104,3
0.55,2.3983186753190306,3
0.56,2.4066619902659574,3
0.5700000000000001,2.415005305212884,3
0.58,2.4233486201598113,3
0.59,2.431691935106738,3
0.6,2.440035250053665,3
0.61,2.4539075242783195,3
0.62,2.4677797985029737,3
0.63,2.4816520727276283,3
0.64,2.4955243469522825,3
0.65,2.509396621176937,3
0.66,2.523268895401592,3
0.67,2.5422847725315236,3
0.68,2.5715878554720093,3
0.6900000000000001,2.600890938412495,3
0.7000000000000001,2.630194021352981,3
0.71,2.6594971042934668,3
0.72,2.688800187233953,3
0.73,2.7181032701744385,3
0.74,2.817003073085655,3
0.75,2.950701235982237,3
0.76,3.0843993988788188,3
0.77,3.2180975617754006,3
0.78,3.3517957246719825,3
0.79,3.4854938875685644,3
0.8,3.619192050465145,3
0.81,4.085743923396576,3
0.8200000000000001,4.552295796328001,3
0.8300000000000001,5.018847669259432,3
0.84,5.485399542190862,3
0.85,5.951951415122293,3
0.86,6.418503288053724,3
0.87,7.292179118552537,3
0.88,8.980102864186078,3
0.89,10.668026609819638,3
0.9,12.3559503554532,3
0.91,14.043874101086761,3
0.92,15.73179784672032,3
0.93,17.41972159235388,3
0.9400000000000001,18.630788315052015,3
0.9500000000000001,19.603426526282462,3
0.96,20.576064737512898,3
0.97,21.548702948743347,3
0.98,22.521341159973794,3
0.99,23.49397937120424,3
1.0,24.466617582434687,3
0.0,0.21740600525808418,4
0.01,0.2321562317591072,4
0.02,0.24690645826013027,4
0.03,0.26165668476115334,4
0.04,0.27640691126217637,4
0.05,0.2911571377631994,4
0.06,0.30590736426422244,4
0.07,0.3199085731423639,4
0.08,0.33241174677474206,4
0.09,0.34491492040712024,4
0.1,0.3574180940394984,4
0.11,0.3699212676718766,4
0.12,0.3824244413042548,4
0.13,0.394927614936633,4
0.14,0.4245768770957235,4
0.15,0.4627991835181702,4
0.16,0.5010214899406168,4
0.17,0.5392437963630636,4
0.18,0.5774661027855101,4
0.19,0.615688409207957,4
0.2,0.6539107156304036,4
0.21,0.6678727720134252,4
0.22,0.6818348283964469,4
0.23,0.6957968847794685,4
0.24,0.7097589411624902,4
0.25,0.7237209975455119,4
0.26,0.7376830539285336,4
0.27,0.747380922844735,4
0.28,0.7485504168272961,4
0.29,0.7497199108098571,4
0.3,0.7508894047924182,4
0.31,0.7520588987749792,4
0.32,0.7532283927575403,4
0.33,0.7543978867401013,4
0.34,0.7667150523197522,4
0.35000000000000003,0.7846060536979478,4
0.36,0.8024970550761433,4
0.37,0.8203880564543391,4
0.38,0.8382790578325348,4
0.39,0.8561700592107305,4
0.4,0.8740610605889261,4
0.41000000000000003,0.8861244690927711,4
0.42,0.8981878775966161,4
0.43,0.9102512861004612,4
0.44,0.9223146946043063,4
0.45,0.9343781031081513,4
0.46,0.9464415116119963,4
0.47000000000000003,0.9599871501376562,4
0.48,0.976497248706946,4
0.49,0.9930073472762357,4
0.5,1.0095174458455256,4
0.51,1.0260275444148155,4
0.52,1.0425376429841053,4
0.53,1.059047741553395,4
0.54,1.0691678371383584,4
0.55,1.0760929312311585,4
0.56,1.0830180253239585,4
0.5700000000000001,1.0899431194167588,4
