cdf,request_scheduling_delay
0.0,0.0
0.01,0.0
0.02,0.0
0.03,0.0
0.04,0.0
0.05,0.0
0.06,0.0
0.07,4.056138682550395e-05
0.08,0.0005298977169247367
0.09,0.0024724233597770377
0.1,0.005477981870261807
0.11,0.006683616524837102
0.12,0.009055266368361856
0.13,0.01073103659287182
0.14,0.012131583045941273
0.15,0.014803130930802483
0.16,0.09638285805995203
0.17,0.2711043943429985
0.18,0.3402503286337377
0.19,0.3683071934373277
0.2,0.5224155731211382
0.21,0.8055955980345817
0.22,1.004250977269823
0.23,1.1154745251665263
0.24,1.309200196375047
0.25,1.4566399711877276
0.26,1.6360353318890577
0.27,1.7405080219679343
0.28,1.9733645006461125
0.29,2.073315614749716
0.3,2.1115558595914137
0.31,2.2879584292696578
0.32,2.56801870077039
0.33,2.679496023171289
0.34,2.7633673380335657
0.35000000000000003,2.7801775431050544
0.36,2.8576685994989224
0.37,3.012028769298166
0.38,3.1245344173759477
0.39,3.1529741483227354
0.4,3.1934132533726043
0.41000000000000003,3.5009014266149294
0.42,3.7927703806908775
0.43,3.8944773987367465
0.44,4.448002276264715
0.45,4.709679497198164
0.46,4.909332562457841
0.47000000000000003,5.074377236833353
0.48,5.211210550638424
0.49,5.544500595788365
0.5,5.603996155618252
0.51,5.929850635499403
0.52,6.317403586674625
0.53,6.420266581912273
0.54,6.602655928350277
0.55,6.989298628185469
0.56,7.384963768346255
0.5700000000000001,7.990847352154394
0.58,8.280795862196868
0.59,8.41245687747134
0.6,8.75438483178569
0.61,9.128809534999254
0.62,9.717468276677176
0.63,9.81513340134951
0.64,9.954579300987517
0.65,10.38377942788715
0.66,10.698852633146144
0.67,10.82380092287244
0.68,11.162875602743666
0.6900000000000001,11.371937616274646
0.7000000000000001,11.517551271518672
0.71,11.713547869730558
0.72,12.079053273593692
0.73,12.175374200117666
0.74,12.528962290150487
0.75,13.123280948744169
0.76,13.310192951312306
0.77,13.481264091209113
0.78,14.282516475501337
0.79,16.899239103994795
0.8,18.02481853833001
0.81,18.571816261313664
0.8200000000000001,19.265238512263828
0.8300000000000001,20.20366577974983
0.84,22.660901388335997
0.85,24.278460555032233
0.86,24.511243652154256
0.87,24.931876334845374
0.88,25.289572246453805
0.89,25.90758737462197
0.9,29.240431169596604
0.91,34.43418677676639
0.92,35.380162036997355
0.93,35.80446085923788
0.9400000000000001,35.891694474235855
0.9500000000000001,36.33446572706752
0.96,37.006527344891836
0.97,42.13229138239453
0.98,59.92935189706714
0.99,60.09366738438704
1.0,63.180264246289646
