Request Id,prefill_e2e_time_normalized
4,0.00010379369060335831
5,9.91032942360413e-05
14,0.0003869613684327333
26,0.0014181317664310052
10,0.0001211815434475676
28,0.0004852493629546734
36,0.0011047982625966113
24,0.00012401049110279116
84,0.0004859781005526523
33,0.0011397458036231443
56,0.00011651552830846561
45,0.00013681644430952648
15,0.0004200956879903087
63,0.004902805514058817
13,8.057555574566683e-05
37,0.00030199319693442164
108,0.0004769228693182346
79,0.0049187459238849655
88,0.000854863929691191
44,0.0003228170407903733
16,0.0002255940700323488
52,0.0003774387464320178
57,0.002644568392049807
94,0.0006099648290493329
102,0.004510664372788962
20,0.00014871208541071535
76,0.0021283846631453673
64,0.0001658155033641345
116,0.0007478192331476505
8,0.00011457724444074763
12,9.565692153750784e-05
73,0.0006394309569213869
32,0.00034707657131941174
0,0.00010382225889187705
60,0.00031224748103079233
21,0.0001004428272401247
48,0.00010916252096217423
68,0.0006985315880722802
92,0.0003066445007458201
61,0.0007007815105598708
100,0.0017555203822852054
22,0.0004030894199869444
6,0.00014014918275583724
110,0.0006578199767717742
124,0.0005680817831171758
54,0.00015230701118450622
29,0.00011628706585740889
77,0.0004364268501971981
70,0.0004355584446668907
69,0.000693047344248296
46,0.00015961882841734852
3,9.320041930151246e-05
40,0.0004984113461532103
112,0.001473387486078098
86,0.0017821267321238988
34,0.00020033112761381656
38,0.0003628711465911298
104,0.0010766635987065607
109,0.0009493286738603226
53,0.0002348863435423548
62,0.00024343458351908578
30,0.0009287959669083043
93,0.00043027489932222516
42,0.0004806561987216169
72,0.00025066459141821637
125,0.00509821313346782
126,0.009485891152911208
85,0.0007704223599046875
78,0.00026096760019221496
25,0.00022531075466196738
120,0.0022607728443717846
80,0.0005299301252185301
96,0.0004891338635147545
41,0.0008077280621214857
101,0.0013982898471607583
117,0.008995162691214467
118,0.0005843355803063683
58,0.00406844549225731
74,0.004078971745902676
66,0.003499519896108846
67,0.0011881454521502984
114,0.004858410540214652
65,0.003711475047740498
1,0.00010480171709917537
82,0.0008609273169978859
122,0.0013017821149115198
2,0.00010510869939817034
50,0.00031480376391192916
98,0.01162926771193292
90,0.00043038875043937067
106,0.006849611809348051
18,0.00016291024340233865
71,0.0006234920472574956
47,0.002863589103416794
31,0.00032939729797757826
7,0.00014661468972720676
17,0.0002246662606390961
19,0.0015102184741405253
11,0.00027904178963545837
43,0.016511133685764567
75,0.0009276781324458677
55,0.0002667882230209202
51,0.003259056957130412
59,0.017578090783693167
35,0.0015576045087300236
115,0.02142873898545163
99,0.026033316250195233
83,0.001963385226970971
39,0.0019444813391566189
91,0.002154347736492118
49,0.0006010289917649215
27,0.004067110870521152
107,0.002995120431071653
123,0.0007681349260933977
9,0.0001319103123264711
121,0.009250534909747943
113,0.006272044493108663
119,0.0007287903692027335
89,0.0013545062305152424
87,0.00034249647263690034
81,0.0018379959679319954
23,0.0003582134306343551
103,0.012351629240608133
111,0.001672362148850419
105,0.037910548505229784
97,0.0005122231757668475
127,0.045080388967773714
95,0.0004511198987091751
