cdf,request_execution_plus_preemption_time,replica
0.0,3.7121858522702067,0
0.01,4.072437589308224,0
0.02,4.432689326346242,0
0.03,4.79294106338426,0
0.04,5.1531928004222785,0
0.05,5.5134445374602965,0
0.06,5.8736962744983146,0
0.07,6.1261885598565975,0
0.08,6.163161941855411,0
0.09,6.200135323854224,0
0.1,6.2371087058530374,0
0.11,6.27408208785185,0
0.12,6.311055469850663,0
0.13,6.3480288518494765,0
0.14,6.551100255201214,0
0.15,6.837220669229413,0
0.16,7.123341083257611,0
0.17,7.409461497285811,0
0.18,7.695581911314009,0
0.19,7.981702325342209,0
0.2,8.267822739370407,0
0.21,8.31520307273164,0
0.22,8.362583406092872,0
0.23,8.409963739454104,0
0.24,8.457344072815337,0
0.25,8.504724406176567,0
0.26,8.5521047395378,0
0.27,8.591049771509491,0
0.28,8.613124200702098,0
0.29,8.635198629894703,0
0.3,8.65727305908731,0
0.31,8.679347488279916,0
0.32,8.701421917472521,0
0.33,8.723496346665128,0
0.34,9.397405719483512,0
0.35000000000000003,10.397232564114777,0
0.36,11.397059408746042,0
0.37,12.396886253377314,0
0.38,13.396713098008586,0
0.39,14.396539942639857,0
0.4,15.396366787271122,0
0.41000000000000003,15.486921882661976,0
0.42,15.577476978052832,0
0.43,15.668032073443689,0
0.44,15.758587168834543,0
0.45,15.8491422642254,0
0.46,15.939697359616254,0
0.47000000000000003,16.130382027209176,0
0.48,16.521325839206224,0
0.49,16.912269651203275,0
0.5,17.30321346320033,0
0.51,17.69415727519738,0
0.52,18.08510108719443,0
0.53,18.47604489919148,0
0.54,18.66643327121789,0
0.55,18.75654392325898,0
0.56,18.84665457530007,0
0.5700000000000001,18.936765227341162,0
0.58,19.02687587938225,0
0.59,19.11698653142334,0
0.6,19.20709718346443,0
0.61,19.46146634806258,0
0.62,19.715835512660725,0
0.63,19.97020467725887,0
0.64,20.22457384185702,0
0.65,20.478943006455165,0
0.66,20.733312171053313,0
0.67,20.922209460286922,0
0.68,20.98016299879145,0
0.6900000000000001,21.038116537295977,0
0.7000000000000001,21.096070075800508,0
0.71,21.154023614305036,0
0.72,21.211977152809567,0
0.73,21.269930691314094,0
0.74,21.388147909594565,0
0.75,21.536496967763004,0
0.76,21.684846025931442,0
0.77,21.83319508409988,0
0.78,21.98154414226832,0
0.79,22.129893200436758,0
0.8,22.278242258605193,0
0.81,22.50712289866426,0
0.8200000000000001,22.736003538723327,0
0.8300000000000001,22.964884178782395,0
0.84,23.193764818841462,0
0.85,23.42264545890053,0
0.86,23.651526098959597,0
0.87,23.861035192911046,0
0.88,24.031801194647255,0
0.89,24.202567196383463,0
0.9,24.373333198119674,0
0.91,24.544099199855886,0
0.92,24.714865201592094,0
0.93,24.885631203328305,0
0.9400000000000001,25.105856800178135,0
0.9500000000000001,25.350812194584776,0
0.96,25.595767588991418,0
0.97,25.840722983398063,0
0.98,26.085678377804708,0
0.99,26.33063377221135,0
1.0,26.575589166617995,0
0.0,1.121068458484489,1
0.01,1.252945085638961,1
0.02,1.3848217127934332,1
0.03,1.5166983399479053,1
0.04,1.6485749671023773,1
0.05,1.7804515942568495,1
0.06,1.9123282214113215,1
0.07,2.0145770782123518,1
0.08,2.0575703943064982,1
0.09,2.1005637104006447,1
0.1,2.1435570264947916,1
0.11,2.186550342588938,1
0.12,2.2295436586830846,1
0.13,2.272536974777231,1
0.14,2.504023635472406,1
0.15,2.8297569684680943,1
0.16,3.1554903014637827,1
0.17,3.4812236344594725,1
0.18,3.80695696745516,1
0.19,4.132690300450849,1
0.2,4.458423633446538,1
0.21,4.4745634765087114,1
0.22,4.490703319570885,1
0.23,4.506843162633059,1
0.24,4.522983005695233,1
0.25,4.5391228487574065,1
0.26,4.55526269181958,1
0.27,4.863966160278157,1
0.28,5.757796879529526,1
0.29,6.651627598780895,1
0.3,7.545458318032268,1
0.31,8.439289037283642,1
0.32,9.33311975653501,1
0.33,10.226950475786383,1
0.34,11.237181852592764,1
0.35000000000000003,12.305613558176642,1
0.36,13.37404526376052,1
0.37,14.442476969344403,1
0.38,15.510908674928286,1
0.39,16.57934038051217,1
0.4,17.647772086096047,1
0.41000000000000003,17.923543266284998,1
0.42,18.199314446473952,1
0.43,18.475085626662906,1
0.44,18.750856806851857,1
0.45,19.02662798704081,1
0.46,19.302399167229765,1
0.47000000000000003,19.941339160867358,1
0.48,21.306616781402234,1
0.49,22.671894401937116,1
0.5,24.037172022472,1
0.51,25.402449643006882,1
0.52,26.76772726354176,1
0.53,28.133004884076637,1
0.54,29.679686859383796,1
0.55,31.317071012077058,1
0.56,32.95445516477034,1
0.5700000000000001,34.59183931746362,1
0.58,36.22922347015688,1
0.59,37.86660762285016,1
0.6,39.50399177554344,1
0.61,41.033759044259675,1
0.62,42.5635263129759,1
0.63,44.093293581692116,1
0.64,45.62306085040835,1
0.65,47.15282811912458,1
0.66,48.68259538784081,1
0.67,49.774582029135686,1
0.68,49.991007415587866,1
0.6900000000000001,50.20743280204004,1
0.7000000000000001,50.42385818849221,1
0.71,50.640283574944384,1
0.72,50.856708961396556,1
0.73,51.073134347848736,1
0.74,51.45284443488848,1
0.75,51.91419687222202,1
0.76,52.375549309555566,1
0.77,52.836901746889104,1
0.78,53.29825418422264,1
0.79,53.75960662155619,1
0.8,54.22095905888972,1
0.81,54.330411193877765,1
0.8200000000000001,54.43986332886582,1
0.8300000000000001,54.549315463853866,1
0.84,54.65876759884192,1
0.85,54.768219733829966,1
0.86,54.87767186881802,1
0.87,54.99623825914456,1
0.88,55.13303316014809,1
0.89,55.26982806115162,1
0.9,55.406622962155154,1
0.91,55.54341786315868,1
0.92,55.68021276416221,1
0.93,55.81700766516574,1
0.9400000000000001,57.605280327025405,1
0.9500000000000001,60.21929186931314,1
0.96,62.83330341160085,1
0.97,65.4473149538886,1
0.98,68.06132649617633,1
0.99,70.67533803846408,1
1.0,73.28934958075182,1
0.0,1.7526964961985871,2
0.01,2.3887486333344974,2
0.02,3.0248007704704083,2
0.03,3.6608529076063183,2
0.04,4.296905044742229,2
0.05,4.932957181878139,2
0.06,5.56900931901405,2
0.07,6.015451330718006,2
0.08,6.082673091558054,2
0.09,6.149894852398102,2
0.1,6.217116613238149,2
0.11,6.284338374078197,2
0.12,6.351560134918245,2
0.13,6.4187818957582925,2
0.14,6.5976645784224,2
0.15,6.832377721998535,2
0.16,7.067090865574672,2
0.17,7.301804009150808,2
0.18,7.536517152726943,2
0.19,7.77123029630308,2
0.2,8.005943439879216,2
0.21,8.443517219220183,2
0.22,8.88109099856115,2
0.23,9.31866477790212,2
0.24,9.756238557243085,2
0.25,10.193812336584054,2
0.26,10.631386115925023,2
0.27,10.989326312745517,2
0.28,11.187999344525062,2
0.29,11.386672376304608,2
0.3,11.585345408084155,2
0.31,11.7840184398637,2
0.32,11.982691471643246,2
0.33,12.181364503422792,2
0.34,12.871735955682423,2
0.35000000000000003,13.807956618182088,2
0.36,14.744177280681752,2
0.37,15.680397943181422,2
0.38,16.61661860568109,2
0.39,17.55283926818076,2
0.4,18.489059930680426,2
0.41000000000000003,18.56931420182944,2
0.42,18.649568472978455,2
0.43,18.729822744127468,2
0.44,18.810077015276484,2
0.45,18.890331286425496,2
0.46,18.970585557574513,2
0.47000000000000003,19.025606121051304,2
0.48,19.030159269183645,2
0.49,19.03471241731599,2
0.5,19.039265565448332,2
0.51,19.043818713580677,2
0.52,19.048371861713022,2
0.53,19.052925009845364,2
0.54,19.213715214167372,2
0.55,19.452623946584204,2
0.56,19.69153267900104,2
0.5700000000000001,19.93044141141787,2
0.58,20.169350143834702,2
0.59,20.408258876251537,2
0.6,20.647167608668372,2
0.61,20.833588256923715,2
0.62,21.020008905179058,2
0.63,21.206429553434397,2
0.64,21.392850201689736,2
0.65,21.57927084994508,2
0.66,21.76569149820042,2
0.67,21.93546564405019,2
0.68,22.071946785088812,2
0.6900000000000001,22.208427926127435,2
0.7000000000000001,22.344909067166057,2
0.71,22.48139020820468,2
0.72,22.617871349243302,2
0.73,22.754352490281924,2
0.74,23.058094486444613,2
0.75,23.445466910169337,2
0.76,23.832839333894057,2
0.77,24.22021175761878,2
0.78,24.607584181343505,2
0.79,24.99495660506823,2
0.8,25.382329028792945,2
0.81,26.0527691288797,2
0.8200000000000001,26.723209228966443,2
0.8300000000000001,27.393649329053197,2
0.84,28.064089429139948,2
0.85,28.734529529226702,2
0.86,29.404969629313452,2
0.87,30.379232760246786,2
0.88,31.96114195287325,2
0.89,33.543051145499724,2
0.9,35.12496033812621,2
0.91,36.706869530752684,2
0.92,38.28877872337917,2
0.93,39.87068791600564,2
0.9400000000000001,40.44946933450372,2
0.9500000000000001,40.5266868659376,2
0.96,40.60390439737149,2
0.97,40.68112192880537,2
0.98,40.758339460239256,2
0.99,40.83555699167314,2
1.0,40.912774523107025,2
0.0,5.283768505866844,3
0.01,7.433327004858214,3
0.02,9.582885503849583,3
0.03,11.732444002840953,3
0.04,13.882002501832323,3
0.05,16.031561000823693,3
0.06,18.18111949981506,3
0.07,19.71006022776345,3
0.08,19.997765413625867,3
0.09,20.28547059948828,3
0.1,20.5731757853507,3
0.11,20.860880971213117,3
0.12,21.14858615707553,3
0.13,21.43629134293795,3
0.14,21.825046681804096,3
0.15,22.264327097172107,3
0.16,22.70360751254012,3
0.17,23.142887927908134,3
0.18,23.582168343276145,3
0.19,24.02144875864416,3
0.2,24.46072917401217,3
0.21,24.69645392175233,3
0.22,24.93217866949249,3
0.23,25.16790341723265,3
0.24,25.403628164972808,3
0.25,25.639352912712972,3
0.26,25.875077660453133,3
0.27,26.070577478922615,3
0.28,26.18562743885074,3
0.29,26.300677398778866,3
0.3,26.415727358706995,3
0.31,26.530777318635124,3
0.32,26.64582727856325,3
0.33,26.76087723849138,3
0.34,26.858284686733864,3
0.35000000000000003,26.946870879133535,3
0.36,27.035457071533205,3
0.37,27.124043263932872,3
0.38,27.212629456332543,3
0.39,27.30121564873221,3
0.4,27.38980184113188,3
0.41000000000000003,27.44870907555364,3
0.42,27.507616309975404,3
0.43,27.566523544397164,3
0.44,27.625430778818924,3
0.45,27.684338013240684,3
0.46,27.743245247662447,3
0.47000000000000003,27.89890011509121,3
0.48,28.24805024853398,3
0.49,28.59720038197675,3
0.5,28.946350515419525,3
0.51,29.295500648862294,3
0.52,29.644650782305067,3
0.53,29.993800915747837,3
0.54,30.13554979115763,3
0.55,30.17359803755093,3
0.56,30.211646283944233,3
0.5700000000000001,30.249694530337536,3
0.58,30.287742776730838,3
0.59,30.32579102312414,3
0.6,30.36383926951744,3
0.61,30.589323710543006,3
0.62,30.81480815156857,3
0.63,31.04029259259413,3
0.64,31.265777033619695,3
0.65,31.49126147464526,3
0.66,31.716745915670824,3
0.67,32.08894934648008,3
0.68,32.75459075685671,3
0.6900000000000001,33.42023216723333,3
0.7000000000000001,34.08587357760996,3
0.71,34.75151498798658,3
0.72,35.417156398363204,3
0.73,36.082797808739834,3
0.74,36.38310627948005,3
0.75,36.500748280402064,3
0.76,36.618390281324075,3
0.77,36.736032282246086,3
0.78,36.8536742831681,3
0.79,36.97131628409011,3
0.8,37.08895828501212,3
0.81,37.497743479278306,3
0.8200000000000001,37.906528673544486,3
0.8300000000000001,38.31531386781067,3
0.84,38.72409906207685,3
0.85,39.13288425634304,3
0.86,39.54166945060923,3
0.87,40.056742400760655,3
0.88,40.78439086268256,3
0.89,41.51203932460447,3
0.9,42.23968778652639,3
0.91,42.9673362484483,3
0.92,43.694984710370214,3
0.93,44.42263317229212,3
0.9400000000000001,45.92497695803985,3
0.9500000000000001,47.81466840570051,3
0.96,49.70435985336114,3
0.97,51.59405130102179,3
0.98,53.483742748682445,3
0.99,55.373434196343105,3
1.0,57.26312564400376,3
0.0,0.7811040037342736,4
0.01,0.8071109707663162,4
0.02,0.8331179377983587,4
0.03,0.8591249048304013,4
0.04,0.8851318718624439,4
0.05,0.9111388388944865,4
0.06,0.9371458059265291,4
0.07,0.9765057171756919,4
0.08,1.0425715168590952,4
0.09,1.1086373165424988,4
0.1,1.1747031162259023,4
0.11,1.2407689159093056,4
0.12,1.306834715592709,4
0.13,1.3729005152761125,4
0.14,1.462627842864731,4
0.15,1.5641859344059572,4
0.16,1.6657440259471834,4
0.17,1.7673021174884098,4
0.18,1.8688602090296358,4
0.19,1.9704183005708622,4
0.2,2.0719763921120884,4
0.21,2.183579844974847,4
0.22,2.295183297837605,4
0.23,2.4067867507003635,4
0.24,2.5183902035631216,4
0.25,2.6299936564258806,4
0.26,2.741597109288639,4
0.27,2.975763335662254,4
0.28,3.4550551090575756,4
0.29,3.9343468824528967,4
0.3,4.413638655848221,4
0.31,4.892930429243545,4
0.32,5.372222202638866,4
0.33,5.85151397603419,4
0.34,6.407047671850807,4
0.35000000000000003,7.0007023288780665,4
0.36,7.594356985905327,4
0.37,8.18801164293259,4
0.38,8.781666299959852,4
0.39,9.375320956987116,4
0.4,9.968975614014376,4
0.41000000000000003,10.199114856312494,4
0.42,10.429254098610617,4
0.43,10.659393340908737,4
0.44,10.889532583206858,4
0.45,11.119671825504978,4
0.46,11.349811067803099,4
0.47000000000000003,11.569000110066446,4
0.48,11.766288752260243,4
0.49,11.963577394454042,4
0.5,12.160866036647842,4
0.51,12.358154678841641,4
0.52,12.55544332103544,4
0.53,12.752731963229238,4
0.54,12.859530036753592,4
0.55,12.92108282594322,4
0.56,12.982635615132848,4
0.5700000000000001,13.044188404322476,4
0.58,13.105741193512104,4
0.59,13.167293982701734,4
0.6,13.228846771891362,4
0.61,13.31680052723835,4
0.62,13.404754282585335,4
0.63,13.49270803793232,4
0.64,13.580661793279308,4
0.65,13.668615548626295,4
0.66,13.756569303973281,4
0.67,13.881961256844841,4
0.68,14.08222960476554,4
0.6900000000000001,14.282497952686239,4
0.7000000000000001,14.482766300606938,4
0.71,14.683034648527636,4
0.72,14.883302996448336,4
0.73,15.083571344369036,4
0.74,15.213635405672477,4
0.75,15.308597323667286,4
0.76,15.403559241662094,4
0.77,15.498521159656903,4
0.78,15.593483077651712,4
0.79,15.68844499564652,4
0.8,15.783406913641329,4
0.81,15.987473860911761,4
0.8200000000000001,16.191540808182193,4
0.8300000000000001,16.395607755452627,4
0.84,16.599674702723057,4
0.85,16.80374164999349,4
0.86,17.007808597263924,4
0.87,17.32949408741705,4
0.88,17.886416663335545,4
0.89,18.44333923925405,4
0.9,19.000261815172557,4
0.91,19.557184391091063,4
0.92,20.11410696700957,4
0.93,20.67102954292807,4
0.9400000000000001,21.10432552221556,4
0.9500000000000001,21.475808203187547,4
0.96,21.84729088415953,4
0.97,22.21877356513152,4
0.98,22.590256246103507,4
0.99,22.961738927075498,4
1.0,23.333221608047484,4
0.0,4.463288227049895,5
0.01,4.928300811470287,5
0.02,5.3933133958906785,5
0.03,5.85832598031107,5
0.04,6.323338564731461,5
0.05,6.788351149151853,5
0.06,7.253363733572245,5
0.07,7.589402398240066,5
0.08,7.6674932234027455,5
0.09,7.745584048565425,5
0.1,7.823674873728104,5
0.11,7.901765698890783,5
0.12,7.979856524053462,5
0.13,8.05794734921614,5
0.14,8.189814385728202,5
0.15,8.348569527914952,5
0.16,8.507324670101703,5
0.17,8.666079812288455,5
0.18,8.824834954475206,5
0.19,8.983590096661956,5
0.2,9.142345238848707,5
0.21,9.251430546247054,5
0.22,9.360515853645401,5
0.23,9.469601161043748,5
0.24,9.578686468442093,5
0.25,9.687771775840442,5
0.26,9.79685708323879,5
0.27,9.972842904297108,5
0.28,10.282629752675371,5
0.29,10.592416601053634,5
0.3,10.902203449431898,5
0.31,11.211990297810162,5
0.32,11.521777146188425,5
0.33,11.83156399456669,5
0.34,12.126961042263106,5
0.35000000000000003,12.415163189618598,5
0.36,12.70336533697409,5
0.37,12.991567484329583,5
0.38,13.279769631685076,5
0.39,13.567971779040569,5
0.4,13.85617392639606,5
0.41000000000000003,13.962797179135906,5
0.42,14.069420431875754,5
0.43,14.1760436846156,5
0.44,14.282666937355446,5
0.45,14.389290190095291,5
0.46,14.495913442835139,5
0.47000000000000003,14.650860360614542,5
0.48,14.90245460847306,5
0.49,15.15404885633158,5
0.5,15.405643104190098,5
0.51,15.657237352048616,5
0.52,15.908831599907137,5
0.53,16.160425847765655,5
0.54,16.302371610642506,5
0.55,16.389493131028527,5
0.56,16.476614651414547,5
0.5700000000000001,16.563736171800567,5
0.58,16.650857692186584,5
0.59,16.737979212572604,5
0.6,16.825100732958624,5
0.61,16.85840633934177,5
