cdf,prefill_e2e_time,replica
0.0,0.3219227379361618,0
0.01,0.3702922814316947,0
0.02,0.4186618249272276,0
0.03,0.4670313684227605,0
0.04,0.5154009119182934,0
0.05,0.5637704554138263,0
0.06,0.6121399989093592,0
0.07,0.6499064342849261,0
0.08,0.6664666534205608,0
0.09,0.6830268725561955,0
0.1,0.6995870916918303,0
0.11,0.7161473108274651,0
0.12,0.7327075299630997,0
0.13,0.7492677490987346,0
0.14,0.7996255388909366,0
0.15,0.866882114011422,0
0.16,0.9341386891319075,0
0.17,1.0013952642523931,0
0.18,1.0686518393728786,0
0.19,1.1359084144933642,0
0.2,1.2031649896138497,0
0.21,1.211914560365667,0
0.22,1.2206641311174842,0
0.23,1.2294137018693014,0
0.24,1.2381632726211187,0
0.25,1.246912843372936,0
0.26,1.2556624141247532,0
0.27,1.265725883155385,0
0.28,1.2784171487436458,0
0.29,1.2911084143319065,0
0.3,1.3037996799201674,0
0.31,1.3164909455084282,0
0.32,1.3291822110966889,0
0.33,1.3418734766849496,0
0.34,1.361361172188655,0
0.35000000000000003,1.3842470826500823,0
0.36,1.4071329931115097,0
0.37,1.4300189035729374,0
0.38,1.4529048140343648,0
0.39,1.4757907244957924,0
0.4,1.4986766349572198,0
0.41000000000000003,1.5656222210820632,0
0.42,1.6325678072069068,0
0.43,1.6995133933317503,0
0.44,1.7664589794565937,0
0.45,1.8334045655814375,0
0.46,1.900350151706281,0
0.47000000000000003,2.0152549183821526,0
0.48,2.2260780461600804,0
0.49,2.43690117393801,0
0.5,2.6477243017159395,0
0.51,2.8585474294938686,0
0.52,3.0693705572717978,0
0.53,3.280193685049726,0
0.54,3.7354803601861057,0
0.55,4.312998809001698,0
0.56,4.890517257817296,0
0.5700000000000001,5.468035706632895,0
0.58,6.045554155448487,0
0.59,6.6230726042640855,0
0.6,7.200591053079684,0
0.61,7.421268880479136,0
0.62,7.641946707878588,0
0.63,7.862624535278037,0
0.64,8.08330236267749,0
0.65,8.303980190076942,0
0.66,8.524658017476392,0
0.67,8.708875820310196,0
0.68,8.820173574012701,0
0.6900000000000001,8.931471327715204,0
0.7000000000000001,9.04276908141771,0
0.71,9.154066835120215,0
0.72,9.26536458882272,0
0.73,9.376662342525226,0
0.74,9.755600100848879,0
0.75,10.268357861483109,0
0.76,10.781115622117337,0
0.77,11.293873382751567,0
0.78,11.806631143385797,0
0.79,12.319388904020027,0
0.8,12.83214666465425,0
0.81,12.851617624680355,0
0.8200000000000001,12.87108858470646,0
0.8300000000000001,12.890559544732564,0
0.84,12.910030504758671,0
0.85,12.929501464784776,0
0.86,12.948972424810881,0
0.87,12.963351812254936,0
0.88,12.967548054534895,0
0.89,12.971744296814853,0
0.9,12.975940539094811,0
0.91,12.980136781374767,0
0.92,12.984333023654726,0
0.93,12.988529265934684,0
0.9400000000000001,13.016836610746882,0
0.9500000000000001,13.057199506825203,0
0.96,13.097562402903522,0
0.97,13.137925298981843,0
0.98,13.178288195060164,0
0.99,13.218651091138483,0
1.0,13.259013987216804,0
0.0,0.8210166517549399,1
0.01,1.05327010849291,1
0.02,1.28552356523088,1
0.03,1.5177770219688502,1
0.04,1.7500304787068206,1
0.05,1.9822839354447908,1
0.06,2.2145373921827605,1
0.07,2.400958973988523,1
0.08,2.4957168059298684,1
0.09,2.590474637871214,1
0.1,2.68523246981256,1
0.11,2.7799903017539056,1
0.12,2.8747481336952516,1
0.13,2.969505965636597,1
0.14,3.7471906768527212,1
0.15,4.866338827706233,1
0.16,5.985486978559744,1
0.17,7.104635129413259,1
0.18,8.223783280266767,1
0.19,9.342931431120281,1
0.2,10.462079581973793,1
0.21,10.479977650803315,1
0.22,10.497875719632836,1
0.23,10.515773788462358,1
0.24,10.53367185729188,1
0.25,10.551569926121402,1
0.26,10.569467994950925,1
0.27,10.640073363198107,1
0.28,10.816093330280614,1
0.29,10.992113297363119,1
0.3,11.168133264445625,1
0.31,11.344153231528134,1
0.32,11.520173198610639,1
0.33,11.696193165693145,1
0.34,11.951141016893471,1
0.35000000000000003,12.245552810152706,1
0.36,12.53996460341194,1
0.37,12.834376396671175,1
0.38,13.128788189930411,1
0.39,13.423199983189646,1
0.4,13.71761177644888,1
0.41000000000000003,13.781442774083903,1
0.42,13.845273771718926,1
0.43,13.90910476935395,1
0.44,13.972935766988973,1
0.45,14.036766764623996,1
0.46,14.100597762259019,1
0.47000000000000003,14.161526320057275,1
0.48,14.216649998181994,1
0.49,14.271773676306713,1
0.5,14.326897354431434,1
0.51,14.382021032556153,1
0.52,14.437144710680872,1
0.53,14.492268388805591,1
0.54,14.81181130461413,1
0.55,15.263563839264565,1
0.56,15.715316373915007,1
0.5700000000000001,16.167068908565447,1
0.58,16.618821443215882,1
0.59,17.070573977866324,1
0.6,17.522326512516766,1
0.61,17.583149436320554,1
0.62,17.64397236012434,1
0.63,17.704795283928128,1
0.64,17.76561820773192,1
0.65,17.826441131535706,1
0.66,17.887264055339493,1
0.67,17.98824523888422,1
0.68,18.16954294191082,1
0.6900000000000001,18.350840644937414,1
0.7000000000000001,18.532138347964015,1
0.71,18.713436050990612,1
0.72,18.89473375401721,1
0.73,19.07603145704381,1
0.74,23.28471432823364,1
0.75,29.507089783505116,1
0.76,35.7294652387766,1
0.77,41.95184069404807,1
0.78,48.17421614931955,1
0.79,54.39659160459102,1
0.8,60.61896705986243,1
0.81,60.63558625325735,1
0.8200000000000001,60.652205446652275,1
0.8300000000000001,60.6688246400472,1
0.84,60.68544383344212,1
0.85,60.702063026837045,1
0.86,60.71868222023197,1
