cdf,request_model_execution_time
0.0,0.7811040037342736
0.01,0.9994616460727723
0.02,1.2689496130949782
0.03,1.5576190879775595
0.04,1.7725004543305112
0.05,2.0253516195901944
0.06,2.2052092386906006
0.07,2.381049718598391
0.08,2.9593892417688346
0.09,3.747966390985499
0.1,3.861823424813219
0.11,4.441379688839711
0.12,4.487944473484567
0.13,4.718775046379503
0.14,5.191757621446606
0.15,5.99395576827439
0.16,6.0441054840804265
0.17,6.259292735052325
0.18,6.429872132211816
0.19,6.60546672470965
0.2,7.494677160608788
0.21,7.859894905370401
0.22,8.079295573206899
0.23,8.292428790765562
0.24,8.480369076247689
0.25,8.69406377440832
0.26,9.156889946501822
0.27,9.898405169332259
0.28,10.280289937533624
0.29,10.855406622427699
0.3,11.173468671220139
0.31,11.662925177104155
0.32,12.134994322152956
0.33,12.767113304265498
0.34,13.21815431253708
0.35000000000000003,13.289813663290968
0.36,13.688959752205541
0.37,13.855764238540813
0.38,14.718661892072069
0.39,15.280728303614719
0.4,15.70599888836729
0.41000000000000003,16.017163045379075
0.42,16.441766043260134
0.43,16.96054353225008
0.44,17.06168409060215
0.45,17.197719677492554
0.46,17.563782750549354
0.47000000000000003,18.228260698859266
0.48,18.601667520290093
0.49,19.031069898810117
0.5,19.130769954676957
0.51,19.422042250127397
0.52,19.61570669239757
0.53,19.961097656743085
0.54,20.768679228549907
0.55,20.895958432236068
0.56,21.31840188157145
0.5700000000000001,21.671726826495398
0.58,21.89665379489496
0.59,22.251772018229836
0.6,22.89130360885589
0.61,23.292894766852115
0.62,23.363496005273582
0.63,23.804204588915287
0.64,23.957673546075647
0.65,24.401469517599367
0.66,24.490489329197814
0.67,24.658426416024113
0.68,25.100872500865965
0.6900000000000001,25.644107124041728
0.7000000000000001,26.008789724542126
0.71,26.131297835298085
0.72,26.44138523568624
0.73,26.697424934345403
0.74,26.798186457420876
0.75,27.48798056516815
0.76,28.163105091978274
0.77,28.572624623234322
0.78,29.863125268372247
0.79,30.062170937620543
0.8,30.262377279135304
0.81,31.67164902746572
0.8200000000000001,34.35658195861406
0.8300000000000001,35.280521432824266
0.84,36.25461000764529
0.85,37.049744284704786
0.86,39.57223602588362
0.87,40.03742898293437
0.88,40.36721955985597
0.89,41.0253467672018
0.9,46.17635993181507
0.91,49.965302941117386
0.92,50.98820842093209
0.93,54.30122395788096
0.9400000000000001,55.29718704135232
0.9500000000000001,56.77294375652752
0.96,58.093004746315
0.97,60.35061465019868
0.98,61.414077320064116
0.99,70.38506580386064
1.0,75.33118301093141
