cdf,request_execution_plus_preemption_time_normalized
0.0,0.01592743072970158
0.01,0.01642273351356285
0.02,0.016667418462849453
0.03,0.01692387993286099
0.04,0.01778177785404446
0.05,0.019863701348243914
0.06,0.02053493975691838
0.07,0.020835224692807564
0.08,0.02096549842558494
0.09,0.021338487505153242
0.1,0.022242929893268863
0.11,0.022999629042112845
0.12,0.02416836490042367
0.13,0.025748292510192086
0.14,0.025886188733356633
0.15,0.026302882626973365
0.16,0.026724571247407437
0.17,0.027473535298850035
0.18,0.02852319142569059
0.19,0.029180500460365095
0.2,0.03075476071097769
0.21,0.032734715590608296
0.22,0.03667351095734019
0.23,0.03751701396349954
0.24,0.03976413030057338
0.25,0.039871851966501476
0.26,0.04057049758277203
0.27,0.04107433785745793
0.28,0.042264241625209774
0.29,0.04256403075185216
0.3,0.043519406026075506
0.31,0.04387087074666278
0.32,0.04458074468675151
0.33,0.045076828902197795
0.34,0.04556926028161408
0.35000000000000003,0.046256444355125825
0.36,0.047235675301793484
0.37,0.049193442642133475
0.38,0.05070844516737314
0.39,0.05083373188979903
0.4,0.05091930417852287
0.41000000000000003,0.05186207242596822
0.42,0.052377133822657455
0.43,0.053231341560668256
0.44,0.05362745938080609
0.45,0.0543546995041244
0.46,0.05602319038792138
0.47000000000000003,0.05731100767213447
0.48,0.05791859900369546
0.49,0.05902846922349206
0.5,0.0595837386180616
0.51,0.060301634649624604
0.52,0.06091711413587559
0.53,0.06170793530864211
0.54,0.06520321812034832
0.55,0.06732538536485103
0.56,0.06769589434485436
0.5700000000000001,0.06813145899149936
0.58,0.06825875862474179
0.59,0.07368343134836348
0.6,0.07649978267510116
0.61,0.07698329541327995
0.62,0.07858008508476959
0.63,0.07940302658833896
0.64,0.08079767824560301
0.65,0.08240307165336125
0.66,0.08531562172403354
0.67,0.08579714228363662
0.68,0.08598357799687487
0.6900000000000001,0.08626035218596302
0.7000000000000001,0.08778784090774587
0.71,0.08854842203993675
0.72,0.08874383442865785
0.73,0.0890159931212325
0.74,0.08936537118164045
0.75,0.09004136325196657
0.76,0.09061557619649244
0.77,0.09330824920239088
0.78,0.0947817444888481
0.79,0.09562495950280125
0.8,0.10080752756134186
0.81,0.10629813965771034
0.8200000000000001,0.10682867928745322
0.8300000000000001,0.10841356572471829
0.84,0.10941693148315398
0.85,0.11146651223272601
0.86,0.11423504148299796
0.87,0.11607397982292869
0.88,0.1194065138556828
0.89,0.12502147560459803
0.9,0.12672849574987483
0.91,0.12678261807301117
0.92,0.13349560891338388
0.93,0.13939267504005523
0.9400000000000001,0.1469565680357193
0.9500000000000001,0.1616813725949649
0.96,0.20021587829648763
0.97,0.3922499999583515
0.98,1.0311127342347248
0.99,1.4137539800081087
1.0,3.7270547600698585
