cdf,batch_num_prefill_tokens,replica
0.0,0.0,0
0.01,0.0,0
0.02,0.0,0
0.03,0.0,0
0.04,0.0,0
0.05,0.0,0
0.06,0.0,0
0.07,0.0,0
0.08,0.0,0
0.09,0.0,0
0.1,0.0,0
0.11,0.0,0
0.12,0.0,0
0.13,0.0,0
0.14,0.0,0
0.15,0.0,0
0.16,0.0,0
0.17,0.0,0
0.18,0.0,0
0.19,0.0,0
0.2,0.0,0
0.21,0.0,0
0.22,0.0,0
0.23,0.0,0
0.24,0.0,0
0.25,0.0,0
0.26,0.0,0
0.27,0.0,0
0.28,0.0,0
0.29,0.0,0
0.3,0.0,0
0.31,0.0,0
0.32,0.0,0
0.33,0.0,0
0.34,0.0,0
0.35000000000000003,0.0,0
0.36,0.0,0
0.37,0.0,0
0.38,0.0,0
0.39,0.0,0
0.4,0.0,0
0.41000000000000003,0.0,0
0.42,0.0,0
0.43,0.0,0
0.44,0.0,0
0.45,0.0,0
0.46,0.0,0
0.47000000000000003,0.0,0
0.48,0.0,0
0.49,0.0,0
0.5,0.0,0
0.51,0.0,0
0.52,0.0,0
0.53,0.0,0
0.54,0.0,0
0.55,0.0,0
0.56,0.0,0
0.5700000000000001,0.0,0
0.58,0.0,0
0.59,0.0,0
0.6,0.0,0
0.61,0.0,0
0.62,0.0,0
0.63,0.0,0
0.64,0.0,0
0.65,354.3005895684147,0
0.66,497.7794014558298,0
0.67,497.7794014558298,0
0.68,497.7794014558298,0
0.6900000000000001,507.8355509801901,0
0.7000000000000001,507.8355509801901,0
0.71,507.8355509801901,0
0.72,507.8355509801901,0
0.73,507.8355509801901,0
0.74,507.8355509801901,0
0.75,507.8355509801901,0
0.76,507.8355509801901,0
0.77,507.8355509801901,0
0.78,507.8355509801901,0
0.79,507.8355509801901,0
0.8,507.8355509801901,0
0.81,507.8355509801901,0
0.8200000000000001,507.8355509801901,0
0.8300000000000001,507.8355509801901,0
0.84,507.8355509801901,0
0.85,507.8355509801901,0
0.86,507.8355509801901,0
0.87,507.8355509801901,0
0.88,507.8355509801901,0
0.89,507.8355509801901,0
0.9,507.8355509801901,0
0.91,507.8355509801901,0
0.92,507.8355509801901,0
0.93,507.8355509801901,0
0.9400000000000001,507.8355509801901,0
0.9500000000000001,507.8355509801901,0
0.96,507.8355509801901,0
0.97,507.8355509801901,0
0.98,507.8355509801901,0
0.99,507.8355509801901,0
1.0,507.8355509801901,0
0.0,0.0,1
0.01,0.0,1
0.02,0.0,1
0.03,0.0,1
0.04,0.0,1
0.05,0.0,1
0.06,0.0,1
0.07,0.0,1
0.08,0.0,1
0.09,0.0,1
0.1,0.0,1
0.11,0.0,1
0.12,0.0,1
0.13,0.0,1
0.14,0.0,1
0.15,0.0,1
0.16,0.0,1
0.17,0.0,1
0.18,0.0,1
0.19,0.0,1
0.2,0.0,1
0.21,0.0,1
0.22,0.0,1
0.23,0.0,1
0.24,0.0,1
0.25,0.0,1
0.26,0.0,1
0.27,0.0,1
0.28,0.0,1
0.29,0.0,1
0.3,0.0,1
0.31,0.0,1
0.32,0.0,1
0.33,0.0,1
0.34,0.0,1
0.35000000000000003,0.0,1
0.36,0.0,1
0.37,0.0,1
0.38,0.0,1
0.39,0.0,1
0.4,0.0,1
0.41000000000000003,0.0,1
0.42,0.0,1
0.43,0.0,1
0.44,0.0,1
0.45,0.0,1
0.46,0.0,1
0.47000000000000003,0.0,1
0.48,507.8355509801901,1
0.49,507.8355509801901,1
0.5,507.8355509801901,1
0.51,507.8355509801901,1
0.52,507.8355509801901,1
0.53,507.8355509801901,1
0.54,507.8355509801901,1
0.55,507.8355509801901,1
0.56,507.8355509801901,1
0.5700000000000001,507.8355509801901,1
0.58,507.8355509801901,1
0.59,507.8355509801901,1
0.6,507.8355509801901,1
0.61,507.8355509801901,1
0.62,507.8355509801901,1
0.63,507.8355509801901,1
0.64,507.8355509801901,1
0.65,507.8355509801901,1
0.66,507.8355509801901,1
0.67,507.8355509801901,1
0.68,507.8355509801901,1
0.6900000000000001,507.8355509801901,1
0.7000000000000001,507.8355509801901,1
0.71,507.8355509801901,1
0.72,507.8355509801901,1
0.73,507.8355509801901,1
0.74,507.8355509801901,1
0.75,507.8355509801901,1
0.76,507.8355509801901,1
0.77,507.8355509801901,1
