cdf,request_e2e_time
0.0,0.7811040037342738
0.01,3.7631963690853607
0.02,3.9903059097329656
0.03,4.257152681150467
0.04,4.494640742493694
0.05,5.298862177956284
0.06,6.32392057721955
0.07,7.550362196222991
0.08,8.914045787216057
0.09,10.175902619480649
0.1,10.586347110701885
0.11,10.82864169477956
0.12,11.67589629200939
0.13,11.979633809757958
0.14,13.042632099905173
0.15,14.152739073371052
0.16,14.58770212850374
0.17,15.4757884440603
0.18,15.713787084765764
0.19,15.90576866345594
0.2,16.196952468006735
0.21,16.729343930462825
0.22,17.19669291265403
0.23,17.78892214947762
0.24,18.448523716540315
0.25,18.60441202805975
0.26,19.398983648400538
0.27,19.5448729359847
0.28,19.597409895317966
0.29,19.749326740517784
0.3,19.84942391236928
0.31,20.173346567382065
0.32,20.7129321658716
0.33,21.298664325255377
0.34,21.695627921884533
0.35000000000000003,21.77806795496239
0.36,21.87528316662025
0.37,22.008818958061003
0.38,22.457087460195037
0.39,22.582916403285882
0.4,23.192083080100204
0.41000000000000003,23.448342141522588
0.42,23.590823891158056
0.43,23.73160137356016
0.44,24.092902884541356
0.45,24.409588825978286
0.46,24.71599697898675
0.47000000000000003,24.859938694466795
0.48,24.99881261281048
0.49,25.037287993822147
0.5,25.12969091577925
0.51,25.726145907633068
0.52,25.931652301083993
0.53,26.252613375331222
0.54,26.480315688896347
0.55,26.582971351894624
0.56,26.675511664038552
0.5700000000000001,27.048321846311335
0.58,28.021820264750076
0.59,28.50516626171138
0.6,29.07142524468335
0.61,29.537134502095224
0.62,29.768315313830502
0.63,30.080900008650154
0.64,30.340990279156177
0.65,30.413967336990986
0.66,30.876577267860053
0.67,31.8700745847506
0.68,32.34204420248692
0.6900000000000001,34.29771647542972
0.7000000000000001,36.22400173015453
0.71,39.59326572414179
0.72,40.19143031509915
0.73,41.14143467071621
0.74,43.40216258263493
0.75,50.38725331483863
0.76,52.34176998011678
0.77,53.61604648988428
0.78,56.24351670358782
0.79,57.69679320566986
0.8,59.07110798607444
0.81,60.242566627965495
0.8200000000000001,60.70782373389419
0.8300000000000001,61.414699132929606
0.84,61.75377369878993
0.85,62.13063195490951
0.86,62.28939119408082
0.87,63.19520807442732
0.88,64.11865217455167
0.89,64.36392764071817
0.9,65.50194309937025
0.91,67.66002660480197
0.92,68.90933162451253
0.93,69.31142952859241
0.9400000000000001,70.0208468492306
0.9500000000000001,70.60474998315314
0.96,70.65786261701804
0.97,71.38684368659449
0.98,73.38309132610809
0.99,74.28873569279595
1.0,78.09140642263063
