cdf,decode_time_execution_plus_preemption_normalized,replica
0.0,0.0154203076821221,0
0.01,0.015685986852784734,0
0.02,0.015951666023447372,0
0.03,0.016217345194110007,0
0.04,0.016483024364772645,0
0.05,0.01674870353543528,0
0.06,0.017014382706097918,0
0.07,0.017276839176377103,0
0.08,0.017532850245889384,0
0.09,0.017788861315401666,0
0.1,0.018044872384913948,0
0.11,0.01830088345442623,0
0.12,0.01855689452393851,0
0.13,0.018812905593450793,0
0.14,0.01893587773943644,0
0.15,0.01899233042365877,0
0.16,0.019048783107881096,0
0.17,0.019105235792103423,0
0.18,0.01916168847632575,0
0.19,0.01921814116054808,0
0.2,0.019274593844770406,0
0.21,0.020278198708405505,0
0.22,0.021281803572040604,0
0.23,0.02228540843567571,0
0.24,0.023289013299310806,0
0.25,0.02429261816294591,0
0.26,0.02529622302658101,0
0.27,0.026132619039506685,0
0.28,0.026634597351013506,0
0.29,0.027136575662520326,0
0.3,0.02763855397402715,0
0.31,0.028140532285533974,0
0.32,0.028642510597040795,0
0.33,0.02914448890854762,0
0.34,0.030584991623543053,0
0.35000000000000003,0.032494756540282776,0
0.36,0.034404521457022504,0
0.37,0.036314286373762245,0
0.38,0.03822405129050198,0
0.39,0.04013381620724172,0
0.4,0.04204358112398145,0
0.41000000000000003,0.04348328435872644,0
0.42,0.04492298759347144,0
0.43,0.046362690828216445,0
0.44,0.04780239406296144,0
0.45,0.04924209729770644,0
0.46,0.050681800532451436,0
0.47000000000000003,0.051670669791167384,0
0.48,0.05175787109782523,0
0.49,0.05184507240448308,0
0.5,0.051932273711140925,0
0.51,0.052019475017798765,0
0.52,0.05210667632445661,0
0.53,0.05219387763111446,0
0.54,0.052373712635403497,0
0.55,0.05259986448850812,0
0.56,0.05282601634161275,0
0.5700000000000001,0.05305216819471738,0
0.58,0.053278320047822,0
0.59,0.05350447190092663,0
0.6,0.05373062375403126,0
0.61,0.054086942393116386,0
0.62,0.05444326103220151,0
0.63,0.05479957967128663,0
0.64,0.05515589831037176,0
0.65,0.055512216949456884,0
0.66,0.05586853558854201,0
0.67,0.05616747642140562,0
0.68,0.0563516616418262,0
0.6900000000000001,0.056535846862246775,0
0.7000000000000001,0.05672003208266735,0
0.71,0.05690421730308793,0
0.72,0.057088402523508504,0
0.73,0.057272587743929085,0
0.74,0.05820658929478671,0
0.75,0.059515499010862866,0
0.76,0.060824408726939026,0
0.77,0.06213331844301519,0
0.78,0.06344222815909134,0
0.79,0.06475113787516751,0
0.8,0.06606004759124365,0
0.81,0.06642489655432023,0
0.8200000000000001,0.06678974551739679,0
0.8300000000000001,0.06715459448047335,0
0.84,0.06751944344354993,0
0.85,0.0678842924066265,0
0.86,0.06824914136970307,0
0.87,0.06876590469873346,0
0.88,0.06958649675967146,0
0.89,0.07040708882060946,0
0.9,0.07122768088154746,0
0.91,0.07204827294248548,0
0.92,0.07286886500342347,0
0.93,0.07368945706436149,0
0.9400000000000001,0.07410327588519096,0
0.9500000000000001,0.07431370808596617,0
0.96,0.07452414028674137,0
0.97,0.07473457248751658,0
0.98,0.0749450046882918,0
0.99,0.075155436889067,0
1.0,0.07536586908984222,0
0.0,0.0,1
0.01,0.0025917359407798468,1
0.02,0.0051834718815596936,1
0.03,0.0077752078223395395,1
0.04,0.010366943763119387,1
0.05,0.012958679703899235,1
0.06,0.015550415644679079,1
0.07,0.017399291702039025,1
0.08,0.017762447992559157,1
0.09,0.01812560428307929,1
0.1,0.018488760573599425,1
0.11,0.018851916864119557,1
0.12,0.019215073154639693,1
0.13,0.019578229445159828,1
0.14,0.019717747994069827,1
0.15,0.019745447672174763,1
0.16,0.0197731473502797,1
0.17,0.019800847028384635,1
0.18,0.01982854670648957,1
0.19,0.019856246384594507,1
0.2,0.019883946062699442,1
0.21,0.01995819471003244,1
0.22,0.020032443357365443,1
0.23,0.020106692004698442,1
0.24,0.020180940652031444,1
0.25,0.020255189299364443,1
0.26,0.02032943794669744,1
0.27,0.021171693431868602,1
0.28,0.02354996259271604,1
0.29,0.02592823175356348,1
0.3,0.02830650091441093,1
0.31,0.030684770075258383,1
0.32,0.03306303923610582,1
0.33,0.035441308396953274,1
0.34,0.03836427054539825,1
0.35000000000000003,0.04155957918764197,1
0.36,0.044754887829885695,1
0.37,0.04795019647212943,1
0.38,0.05114550511437317,1
0.39,0.05434081375661691,1
0.4,0.057536122398860634,1
0.41000000000000003,0.06000926045806485,1
0.42,0.06248239851726908,1
0.43,0.06495553657647331,1
0.44,0.06742867463567753,1
0.45,0.06990181269488176,1
0.46,0.07237495075408598,1
0.47000000000000003,0.0741951907829555,1
0.48,0.07470963475115563,1
0.49,0.07522407871935576,1
0.5,0.07573852268755588,1
0.51,0.07625296665575601,1
0.52,0.07676741062395613,1
0.53,0.07728185459215627,1
0.54,0.07760248704254118,1
0.55,0.07782621373401849,1
0.56,0.07804994042549582,1
0.5700000000000001,0.07827366711697313,1
0.58,0.07849739380845044,1
0.59,0.07872112049992777,1
0.6,0.07894484719140508,1
0.61,0.07968458647335185,1
0.62,0.0804243257552986,1
0.63,0.08116406503724537,1
0.64,0.08190380431919213,1
0.65,0.08264354360113889,1
0.66,0.08338328288308565,1
0.67,0.08410608463479091,1
0.68,0.08479501132601318,1
0.6900000000000001,0.08548393801723543,1
0.7000000000000001,0.0861728647084577,1
0.71,0.08686179139967995,1
0.72,0.08755071809090222,1
0.73,0.08823964478212448,1
0.74,0.08963831939231531,1
0.75,0.09139186796199043,1
0.76,0.09314541653166555,1
0.77,0.09489896510134067,1
