cdf,prefill_e2e_time
0.0,0.2033727027020631
0.01,0.27755686890723535
0.02,0.41259426078155564
0.03,0.5222112943298103
0.04,0.6451483095909696
0.05,0.6560454013879632
0.06,0.7187721159639721
0.07,0.7547878106955505
0.08,0.8154437147478903
0.09,0.9509717005966547
0.1,1.1791868014015594
0.11,1.259745547142268
0.12,1.28347050960252
0.13,1.423915994116557
0.14,1.5014923662626647
0.15,1.7105301448730907
0.16,1.8786088947487964
0.17,2.106873988941101
0.18,2.348373475831977
0.19,2.495116938567384
0.2,2.6850638381867813
0.21,2.9357530320779013
0.22,3.0303610406335872
0.23,3.134703026138624
0.24,3.2911427869511702
0.25,3.341588200662731
0.26,3.425665968583903
0.27,3.526840849900231
0.28,3.6813511726310963
0.29,3.843771780120457
0.3,3.997359406955528
0.31,4.024797209323584
0.32,4.090711561918
0.33,4.150233394770348
0.34,4.184804874990482
0.35000000000000003,4.35731155849193
0.36,4.5391904198352675
0.37,4.954409415607709
0.38,5.259357952906478
0.39,5.593059869779931
0.4,5.898664354443707
0.41000000000000003,5.970231835729083
0.42,6.106179923881225
0.43,6.458119419620021
0.44,6.6950752232243556
0.45,6.778101182944582
0.46,7.033762591690768
0.47000000000000003,7.2076914783013
0.48,7.514255551622268
0.49,7.807569193322022
0.5,8.009776425934199
0.51,8.544703536034334
0.52,8.691859024050137
0.53,9.096622234472772
0.54,9.366134325353515
0.55,10.00420326957097
0.56,10.476398037037411
0.5700000000000001,10.662317329396645
0.58,10.900511272645312
0.59,11.061214001965807
0.6,11.24772198316903
0.61,11.604729942416329
0.62,11.726012860858456
0.63,12.24456346350351
0.64,12.384178873763002
0.65,12.725664431298219
0.66,12.804283682233155
0.67,12.843829240669914
0.68,12.972024046300183
0.6900000000000001,13.15945217689028
0.7000000000000001,13.440332990104583
0.71,13.521569694913376
0.72,13.824421588415127
0.73,14.090142541323319
0.74,14.503293124430538
0.75,15.486201001617003
0.76,17.733179315036562
0.77,18.882647240482115
0.78,19.67574457053458
0.79,20.18595627661583
0.8,21.110547488881917
0.81,21.649578072124925
0.8200000000000001,24.584109252136464
0.8300000000000001,25.35162956548607
0.84,25.716120504547256
0.85,26.04466303311766
0.86,26.352142748417283
0.87,27.392939229310286
0.88,32.78511611020202
0.89,35.96241418335512
0.9,36.46402505027331
0.91,37.020344733121455
0.92,37.31983600328616
0.93,37.51949126945749
0.9400000000000001,38.30534009371223
0.9500000000000001,48.67834716537442
0.96,60.080653055868204
0.97,60.79696081331436
0.98,61.52956556093442
0.99,63.08981168627072
1.0,63.90325473317248
