cdf,request_e2e_time_normalized
0.0,0.025799353913583224
0.01,0.028712711131484405
0.02,0.03166615905213185
0.03,0.035476163393074314
0.04,0.03778515637663464
0.05,0.03801137740843925
0.06,0.039104653895316206
0.07,0.039772225402238084
0.08,0.04094670245419587
0.09,0.0413146780359518
0.1,0.04164285634317132
0.11,0.04255396093340554
0.12,0.04321472643321982
0.13,0.04412570040387317
0.14,0.04451232891784526
0.15,0.045169333144380486
0.16,0.04627048339982692
0.17,0.04676112130777873
0.18,0.04746671595262099
0.19,0.04861826869655342
0.2,0.05006056804423905
0.21,0.05027635854439691
0.22,0.050844097011377244
0.23,0.051353707521483404
0.24,0.05157597383477409
0.25,0.0518034054823991
0.26,0.0531259761642092
0.27,0.053295484854238726
0.28,0.05420243737763763
0.29,0.05475649920921197
0.3,0.05629587530075641
0.31,0.05645949873443931
0.32,0.0574680148918588
0.33,0.058626867059209074
0.34,0.05912939907980553
0.35000000000000003,0.059207116961806874
0.36,0.05945433309262329
0.37,0.06008242358398238
0.38,0.06024633214537103
0.39,0.06141913544694696
0.4,0.06236572010079754
0.41000000000000003,0.06317398611286225
0.42,0.06780572287689934
0.43,0.07150999584788416
0.44,0.0759781990379968
0.45,0.07834910767363273
0.46,0.07947854950470071
0.47000000000000003,0.08110303316007447
0.48,0.08349741908436709
0.49,0.08628413533089108
0.5,0.08995347458597039
0.51,0.0917936954380269
0.52,0.09279331028893986
0.53,0.09329106164333531
0.54,0.09435633040489008
0.55,0.0958670374336866
0.56,0.09898143198712923
0.5700000000000001,0.10933191041927952
0.58,0.10955355123927843
0.59,0.11046679816536321
0.6,0.11202359445702709
0.61,0.11283544421571218
0.62,0.1141066151671573
0.63,0.11690836801724842
0.64,0.12111289347102402
0.65,0.12382745477520243
0.66,0.12588413809984242
0.67,0.12691711745013637
0.68,0.1307801401775237
0.6900000000000001,0.13690859238096917
0.7000000000000001,0.13903903120774502
0.71,0.14014603765103514
0.72,0.14177178867119308
0.73,0.14273018212238847
0.74,0.14605448925140407
0.75,0.14691361367463557
0.76,0.1495294203045377
0.77,0.15046992527771214
0.78,0.15106804032924734
0.79,0.15337632511458815
0.8,0.15532608393390918
0.81,0.15853042601980996
0.8200000000000001,0.1615400352327351
0.8300000000000001,0.16971086478495906
0.84,0.18143748214481462
0.85,0.18568153453198474
0.86,0.22208116221857138
0.87,0.22927517707802675
0.88,0.24736638252511006
0.89,0.2605924824706526
0.9,0.29110581064360874
0.91,0.36475295467450797
0.92,0.38765457052012714
0.93,0.3947089609499729
0.9400000000000001,0.4211538701292413
0.9500000000000001,0.5786979833893885
0.96,0.6954110324410299
0.97,1.7165569760711172
0.98,4.946135579274224
0.99,8.267054619376784
1.0,10.581400040837272
