cdf,decode_time_execution_plus_preemption_normalized
0.0,0.0
0.01,0.0023684657099986906
0.02,0.01186273492141158
0.03,0.015216558041613574
0.04,0.015441624539291534
0.05,0.015779664213296633
0.06,0.015998155003331762
0.07,0.016177261408468507
0.08,0.01643221916410898
0.09,0.017139002968854046
0.1,0.017181999001737513
0.11,0.0172756374816392
0.12,0.01840094476133188
0.13,0.019088992662021607
0.14,0.019274080907887486
0.15,0.01970851476803485
0.16,0.020004293504419457
0.17,0.02033018590191301
0.18,0.020539698106370925
0.19,0.020773045387483487
0.2,0.021204814287700866
0.21,0.021575111805735403
0.22,0.021988872124667394
0.23,0.023064668841959894
0.24,0.0250981657350129
0.25,0.026236261249155388
0.26,0.027772406568162007
0.27,0.029246113492975487
0.28,0.029289963666312712
0.29,0.032585802184763195
0.3,0.034352387332294454
0.31,0.03528577183177742
0.32,0.035900089725657475
0.33,0.03732075449497539
0.34,0.03877820003060556
0.35000000000000003,0.03956641410925581
0.36,0.040768291261922295
0.37,0.041053027685249974
0.38,0.041556677917761894
0.39,0.0425014450858489
0.4,0.04294458550069084
0.41000000000000003,0.043316748532491234
0.42,0.045627525198470145
0.43,0.04590919991762586
0.44,0.04686699480637215
0.45,0.047445962512497455
0.46,0.048526617403958014
0.47000000000000003,0.04967444713532388
0.48,0.050452958349512037
0.49,0.05074784318146915
0.5,0.05116982819975657
0.51,0.05155450172443288
0.52,0.05223387799330969
0.53,0.05254171568275715
0.54,0.05327376092092576
0.55,0.05440632843836677
0.56,0.0551987877810364
0.5700000000000001,0.05557719164024716
0.58,0.05594352228099978
0.59,0.05619131430250023
0.6,0.056749380189497774
0.61,0.057228979353787936
0.62,0.057483566107681544
0.63,0.05778462988767557
0.64,0.05949646557172867
0.65,0.06154698968429
0.66,0.0636926383816448
0.67,0.06462462310596712
0.68,0.06614203951292177
0.6900000000000001,0.06628961198110515
0.7000000000000001,0.06676238202355772
0.71,0.06732236759605797
0.72,0.0675443277340665
0.73,0.06826602041539041
0.74,0.06881123773530125
0.75,0.07210364014793101
0.76,0.0739945630399591
0.77,0.07508401556762201
0.78,0.07564046995163161
0.79,0.07794553463613973
0.8,0.07914839568488584
0.81,0.08056879427917138
0.8200000000000001,0.08183243929549641
0.8300000000000001,0.08357323906997809
0.84,0.08473544029919361
0.85,0.0858983110920732
0.86,0.086875503169167
0.87,0.08705312557604176
0.88,0.08813653144731186
0.89,0.08898120493095253
0.9,0.09124355295198534
0.91,0.09715229869917896
0.92,0.0999066415552779
0.93,0.10101701202507958
0.9400000000000001,0.10614950342553371
0.9500000000000001,0.11108353324659984
0.96,0.11431373316635073
0.97,0.11638090336708944
0.98,0.11695053643611328
0.99,0.11926175248993152
1.0,0.14405694711123773
