cdf,prefill_time_execution_plus_preemption
0.0,0.1246795216263763
0.01,0.13116770157918184
0.02,0.13564954208497965
0.03,0.1425357326853982
0.04,0.15719341287351654
0.05,0.16511602838609854
0.06,0.1719104128963097
0.07,0.19167645114534423
0.08,0.19966917845788656
0.09,0.21337009071662746
0.1,0.2166183950429282
0.11,0.2493128923646368
0.12,0.2567532523205271
0.13,0.26207756459885895
0.14,0.2705148214719723
0.15,0.2730677394216693
0.16,0.2779168735995194
0.17,0.287425537775129
0.18,0.29352503337432867
0.19,0.3175940967233931
0.2,0.3444896276631256
0.21,0.3863505736326031
0.22,0.39892528623105245
0.23,0.4279350366062299
0.24,0.442100556185201
0.25,0.4759157689583784
0.26,0.4911262944756948
0.27,0.547749824515954
0.28,0.5936827013016962
0.29,0.6152780632771181
0.3,0.650502141783501
0.31,0.6535289372580725
0.32,0.6873744483674418
0.33,0.7242128700377355
0.34,0.7473715509944421
0.35000000000000003,0.7516620885342037
0.36,0.7547877930025753
0.37,0.7948103268144594
0.38,0.8161071596296819
0.39,0.8491301884369526
0.4,0.8772936980630591
0.41000000000000003,0.9546483576598217
0.42,0.962584397636779
0.43,1.02913684643175
0.44,1.071079929601003
0.45,1.0855983747980908
0.46,1.1043588478201012
0.47000000000000003,1.1144949089984062
0.48,1.1208733841725225
0.49,1.1656352927796434
0.5,1.1940690162838297
0.51,1.2079990961153069
0.52,1.2495250821103252
0.53,1.2800592531924946
0.54,1.361253377275159
0.55,1.3818818991089734
0.56,1.4909259360721472
0.5700000000000001,1.5356942049346307
0.58,1.5695882178134932
0.59,1.641188948977722
0.6,1.683513181907934
0.61,1.7278181991717845
0.62,1.7639149052627046
0.63,1.8217173341867146
0.64,1.8430759663821248
0.65,1.8679916201679745
0.66,1.8979799800129487
0.67,1.9376313706226018
0.68,1.991280240496471
0.6900000000000001,2.1072406318922874
0.7000000000000001,2.198955455021437
0.71,2.2840746235598135
0.72,2.343280092541234
0.73,2.3765247996654626
0.74,2.4389228080607417
0.75,2.535728710574211
0.76,2.5637545025819533
0.77,2.6969715117374307
0.78,2.804593720134121
0.79,2.8534892465895636
0.8,3.0424971325593653
0.81,3.292596649609655
0.8200000000000001,3.6139347574536416
0.8300000000000001,3.655804376985544
0.84,3.712230886144074
0.85,3.73700788782234
0.86,3.99666770880761
0.87,4.046137871802094
0.88,4.2125862097321916
0.89,4.406265765526032
0.9,4.501089616831372
0.91,4.741992779253555
0.92,5.95760689010825
0.93,6.762530586962038
0.9400000000000001,7.5262351678156625
0.9500000000000001,8.74953978810339
0.96,10.469110461423597
0.97,18.977547203900613
0.98,23.793538737906168
0.99,25.538778276119963
1.0,43.5250566644494
