Time (sec),request_completion
1.4454966186786826,1
5.502680841994306,2
6.056254452678537,3
7.7722571172774595,4
8.00818255233569,5
8.281228371122177,6
9.774239075114092,7
9.99030740056248,8
13.707367249526104,9
15.377534323323228,10
15.866349200426514,11
15.960543452137633,12
16.488690897417694,13
18.364753806584435,14
19.067585727356565,15
19.202197087788274,16
19.866534160902184,17
19.952657363576623,18
21.5681167136125,19
21.780377879423664,20
21.835955384468065,21
22.323301285197495,22
22.763539691287203,23
23.539013424685667,24
23.539013424685667,25
23.830867765721266,26
24.094130746831063,27
24.41805221592296,28
24.828688975250174,29
25.244414328410848,30
25.350041941004278,31
26.22651749430819,32
26.64951994587868,33
26.761467394518206,34
27.242999582922863,35
27.6616641040139,36
27.679693133407568,37
27.685354220518576,38
28.788684607594146,39
29.50095158070879,40
29.525441362709884,41
29.60905569778786,42
29.73279458747799,43
29.76680464229441,44
29.835509774916357,45
30.46731074929663,46
30.492057966261267,47
30.606149621748806,48
30.68707871358371,49
30.853861854529065,50
30.976858923066278,51
31.01586791692176,52
31.12502954655292,53
31.140520958851422,54
31.50033172489964,55
31.523936240852873,56
31.905180181311195,57
31.90610321075393,58
32.08249873925562,59
32.63534766386819,60
32.65277542265387,61
32.69626336800847,62
32.74857560663658,63
32.938516057133825,64
33.43779252896322,65
33.51573120423865,66
33.76390425770025,67
33.935445772027435,68
33.95633467815613,69
33.97291190488813,70
34.086249561855745,71
34.25698063363658,72
34.571982377953695,73
34.80253572178043,74
34.879333023192316,75
35.01109664160556,76
36.84138129876439,77
37.59044891232715,78
37.60808583784736,79
37.86845481690821,80
37.92083045031221,81
37.95530052630215,82
38.97210679453873,83
39.762097217443426,84
39.98347172589374,85
40.362945997453714,86
40.900614898984294,87
41.451184899525934,88
42.44703820967198,89
42.92145489022892,90
43.986777891111295,91
44.11276389993926,92
44.674753674372056,93
46.22346371223179,94
48.131108086175814,95
51.57474002154467,96
53.506108911014685,97
56.31911376923995,98
59.15093583358902,99
59.30300505348843,100
68.04469636587596,101
68.34499511607953,102
68.75227491994904,103
68.87146698017257,104
69.03967219830018,105
69.17463770074379,106
69.42067903946126,107
70.16480442425349,108
70.17639033025293,109
72.22875376013286,110
73.01581366770748,111
73.24328584736548,112
73.99427110549703,113
74.21427081999425,114
74.8046022040985,115
76.03516890199663,116
77.07318407367329,117
77.58411490085777,118
78.32751181148822,119
78.80712228329932,120
80.25595001051266,121
81.7705468451711,122
82.26599277778207,123
82.26599277778207,124
82.7132055255049,125
83.93166548272028,126
84.6350163933458,127
84.97347749257229,128
