cdf,request_scheduling_delay,replica
0.0,0.0,0
0.01,0.00016568694343628286,0
0.02,0.0003313738868725657,0
0.03,0.0004970608303088486,0
0.04,0.0006627477737451315,0
0.05,0.0008284347171814144,0
0.06,0.0009941216606176972,0
0.07,0.0014969517383905287,0
0.08,0.002674068084836456,0
0.09,0.0038511844312823828,0
0.1,0.005028300777728312,0
0.11,0.006205417124174239,0
0.12,0.007382533470620166,0
0.13,0.008559649817066096,0
0.14,0.009259516822195902,0
0.15,0.009720759156667647,0
0.16,0.010182001491139393,0
0.17,0.010643243825611139,0
0.18,0.011104486160082881,0
0.19,0.011565728494554629,0
0.2,0.012026970829026373,0
0.21,0.01812876833063915,0
0.22,0.02423056583225193,0
0.23,0.03033236333386473,0
0.24,0.036434160835477486,0
0.25,0.042535958337090285,0
0.26,0.048637755838703084,0
0.27,0.0595301891554305,0
0.28,0.08000389410238687,0
0.29,0.10047759904934322,0
0.3,0.12095130399629972,0
0.31,0.14142500894325621,0
0.32,0.16189871389021257,0
0.33,0.18237241883716906,0
0.34,0.22185853418795892,0
0.35000000000000003,0.27085085474066506,0
0.36,0.31984317529337125,0
0.37,0.36883549584607767,0
0.38,0.4178278163987841,0
0.39,0.46682013695149055,0
0.4,0.5158124575041967,0
0.41000000000000003,0.5794696747011537,0
0.42,0.6431268918981111,0
0.43,0.7067841090950685,0
0.44,0.7704413262920256,0
0.45,0.8340985434889829,0
0.46,0.8977557606859403,0
0.47000000000000003,0.9436011965363538,0
0.48,0.95382306969368,0
0.49,0.9640449428510063,0
0.5,0.9742668160083325,0
0.51,0.9844886891656588,0
0.52,0.994710562322985,0
0.53,1.0049324354803113,0
0.54,1.167243078573612,0
0.55,1.4055981066348946,0
0.56,1.6439531346961798,0
0.5700000000000001,1.8823081627574652,0
0.58,2.120663190818748,0
0.59,2.359018218880033,0
0.6,2.597373246941318,0
0.61,3.1674052082634474,0
0.62,3.7374371695855766,0
0.63,4.307469130907698,0
0.64,4.877501092229828,0
0.65,5.447533053551957,0
0.66,6.017565014874085,0
0.67,6.479222829195503,0
0.68,6.724132349515502,0
0.6900000000000001,6.969041869835497,0
0.7000000000000001,7.213951390155495,0
0.71,7.458860910475491,0
0.72,7.703770430795489,0
0.73,7.948679951115487,0
0.74,8.100712458936666,0
0.75,8.206306460508435,0
0.76,8.311900462080203,0
0.77,8.417494463651972,0
0.78,8.523088465223742,0
0.79,8.62868246679551,0
0.8,8.734276468367277,0
0.81,9.138230887969598,0
0.8200000000000001,9.542185307571913,0
0.8300000000000001,9.946139727174234,0
0.84,10.350094146776556,0
0.85,10.754048566378875,0
0.86,11.158002985981197,0
0.87,11.46390365244271,0
0.88,11.573696812622611,0
0.89,11.683489972802514,0
0.9,11.793283132982417,0
0.91,11.903076293162318,0
0.92,12.012869453342221,0
0.93,12.122662613522124,0
0.9400000000000001,12.161529892249073,0
0.9500000000000001,12.164934230249546,0
0.96,12.16833856825002,0
0.97,12.171742906250493,0
0.98,12.175147244250969,0
0.99,12.178551582251442,0
1.0,12.181955920251916,0
0.0,0.0,1
0.01,0.0018241633583760519,1
0.02,0.0036483267167521038,1
0.03,0.005472490075128155,1
0.04,0.0072966534335042075,1
0.05,0.00912081679188026,1
0.06,0.01094498015025631,1
0.07,0.07934125413893464,1
0.08,0.28088174938821725,1
0.09,0.48242224463749983,1
0.1,0.6839627398867827,1
0.11,0.8855032351360652,1
0.12,1.0870437303853477,1
0.13,1.2885842256346312,1
0.14,1.3692144681137253,1
0.15,1.3893895842077257,1
0.16,1.4095647003017264,1
0.17,1.429739816395727,1
0.18,1.4499149324897274,1
0.19,1.4700900485837278,1
0.2,1.4902651646777283,1
0.21,2.685775127328986,1
0.22,3.881285089980244,1
0.23,5.076795052631505,1
0.24,6.272305015282759,1
0.25,7.467814977934021,1
0.26,8.663324940585282,1
0.27,9.479841359237389,1
0.28,9.538370689891202,1
0.29,9.596900020545016,1
0.3,9.65542935119883,1
0.31,9.713958681852642,1
0.32,9.772488012506455,1
0.33,9.83101734316027,1
0.34,9.945139591735224,1
0.35000000000000003,10.08705829927075,1
0.36,10.228977006806273,1
0.37,10.370895714341799,1
0.38,10.512814421877325,1
0.39,10.65473312941285,1
0.4,10.796651836948376,1
0.41000000000000003,11.136904979357235,1
0.42,11.477158121766095,1
0.43,11.817411264174956,1
0.44,12.157664406583812,1
0.45,12.497917548992673,1
0.46,12.838170691401533,1
0.47000000000000003,13.077823346580228,1
0.48,13.116275027298597,1
0.49,13.154726708016966,1
0.5,13.193178388735335,1
0.51,13.231630069453704,1
0.52,13.270081750172073,1
0.53,13.308533430890442,1
0.54,13.341592864557647,1
0.55,13.37195617469927,1
0.56,13.402319484840891,1
0.5700000000000001,13.432682794982515,1
0.58,13.463046105124137,1
0.59,13.493409415265761,1
0.6,13.523772725407383,1
0.61,14.002721598379729,1
0.62,14.481670471352077,1
0.63,14.960619344324417,1
0.64,15.439568217296763,1
0.65,15.91851709026911,1
0.66,16.39746596324146,1
0.67,16.74441277129955,1
0.68,16.827355449529147,1
0.6900000000000001,16.91029812775874,1
0.7000000000000001,16.993240805988336,1
0.71,17.07618348421793,1
0.72,17.159126162447524,1
0.73,17.24206884067712,1
0.74,17.39556675646082,1
0.75,17.584342291021574,1
0.76,17.77311782558233,1
0.77,17.961893360143083,1
0.78,18.150668894703838,1
0.79,18.339444429264592,1
0.8,18.528219963825343,1
0.81,24.731834111070427,1
0.8200000000000001,30.93544825831544,1
0.8300000000000001,37.13906240556052,1
0.84,43.34267655280561,1
0.85,49.54629070005069,1
0.86,55.749904847295774,1
0.87,59.8903980778803,1
0.88,59.90464947514378,1
0.89,59.91890087240726,1
0.9,59.933152269670735,1
0.91,59.947403666934214,1
0.92,59.96165506419769,1
0.93,59.97590646146117,1
0.9400000000000001,59.99613781175969,1
0.9500000000000001,60.01935913857572,1
0.96,60.04258046539176,1
0.97,60.06580179220779,1
0.98,60.089023119023835,1
0.99,60.11224444583987,1
1.0,60.135465772655905,1
0.0,0.0,2
0.01,0.0008983496570416083,2
0.02,0.0017966993140832166,2
0.03,0.0026950489711248245,2
0.04,0.003593398628166433,2
0.05,0.0044917482852080415,2
0.06,0.005390097942249649,2
0.07,0.03230556015525772,2
0.08,0.11125524748019859,2
0.09,0.19020493480513948,2
0.1,0.26915462213008046,2
0.11,0.34810430945502135,2
0.12,0.4270539967799622,2
0.13,0.5060036841049033,2
0.14,0.6057100082054604,2
0.15,0.7157946506938256,2
0.16,0.8258792931821908,2
0.17,0.9359639356705564,2
0.18,1.0460485781589213,2
0.19,1.1561332206472867,2
0.2,1.266217863135652,2
0.21,1.383248556685048,2
0.22,1.5002792502344442,2
0.23,1.6173099437838405,2
0.24,1.7343406373332364,2
0.25,1.8513713308826327,2
0.26,1.968402024432029,2
0.27,2.1702164006375706,2
0.28,2.541598142155397,2
0.29,2.9129798836732226,2
0.3,3.284361625191051,2
0.31,3.6557433667088794,2
0.32,4.027125108226706,2
0.33,4.398506849744534,2
0.34,4.591552760910959,2
0.35000000000000003,4.695430756901683,2
0.36,4.799308752892407,2
0.37,4.903186748883131,2
0.38,5.007064744873856,2
0.39,5.11094274086458,2
0.4,5.214820736855304,2
0.41000000000000003,5.903769666583517,2
0.42,6.592718596311734,2
0.43,7.28166752603995,2
0.44,7.9706164557681625,2
0.45,8.65956538549638,2
0.46,9.348514315224596,2
0.47000000000000003,9.8432243311241,2
0.48,9.949456519366185,2
0.49,10.05568870760827,2
0.5,10.161920895850358,2
0.51,10.268153084092443,2
0.52,10.374385272334528,2
0.53,10.480617460576614,2
0.54,10.538323853790093,2
0.55,10.57176734948927,2
0.56,10.605210845188447,2
0.5700000000000001,10.638654340887625,2
0.58,10.6720978365868,2
0.59,10.705541332285978,2
0.6,10.738984827985155,2
0.61,10.792883355869744,2
0.62,10.846781883754334,2
0.63,10.900680411638923,2
0.64,10.954578939523513,2
0.65,11.008477467408103,2
0.66,11.06237599529269,2
0.67,11.107276021594627,2
0.68,11.13417904473126,2
0.6900000000000001,11.161082067867891,2
0.7000000000000001,11.187985091004522,2
0.71,11.214888114141154,2
0.72,11.241791137277785,2
0.73,11.268694160414418,2
0.74,12.007728716373315,2
0.75,13.102829038743353,2
0.76,14.19792936111339,2
0.77,15.293029683483429,2
0.78,16.388130005853466,2
0.79,17.483230328223502,2
0.8,18.57833065059353,2
0.81,18.67290528930971,2
0.8200000000000001,18.767479928025892,2
0.8300000000000001,18.862054566742078,2
0.84,18.95662920545826,2
0.85,19.051203844174445,2
0.86,19.145778482890627,2
0.87,19.22897476711656,2
0.88,19.289414342362004,2
0.89,19.349853917607444,2
0.9,19.410293492852887,2
0.91,19.47073306809833,2
0.92,19.53117264334377,2
0.93,19.591612218589212,2
0.9400000000000001,19.756126313446345,2
0.9500000000000001,19.972677668109323,2
0.96,20.189229022772302,2
0.97,20.40578037743528,2
0.98,20.62233173209826,2
0.99,20.838883086761243,2
1.0,21.05543444142422,2
0.0,0.0,3
0.01,6.836188790815268e-06,3
0.02,1.3672377581630535e-05,3
0.03,2.05085663724458e-05,3
0.04,2.734475516326107e-05,3
0.05,3.418094395407634e-05,3
0.06,4.10171327448916e-05,3
0.07,1.1708640581476562,3
0.08,4.683319508814803,3
0.09,8.19577495948195,3
0.1,11.708230410149104,3
0.11,15.220685860816252,3
0.12,18.7331413114834,3
0.13,22.245596762150555,3
0.14,23.507156857214266,3
0.15,23.64326927447626,3
0.16,23.77938169173825,3
0.17,23.915494109000246,3
0.18,24.05160652626224,3
0.19,24.187718943524235,3
0.2,24.32383136078623,3
0.21,24.34821494969082,3
0.22,24.37259853859541,3
0.23,24.3969821275,3
0.24,24.42136571640459,3
0.25,24.445749305309178,3
0.26,24.47013289421377,3
0.27,24.492037491060184,3
0.28,24.508984103790247,3
0.29,24.52593071652031,3
0.3,24.542877329250373,3
0.31,24.559823941980437,3
0.32,24.5767705547105,3
0.33,24.593717167440563,3
0.34,24.667225282533195,3
0.35000000000000003,24.76901414880711,3
0.36,24.870803015081027,3
0.37,24.97259188135494,3
0.38,25.074380747628858,3
0.39,25.176169613902776,3
0.4,25.27795848017669,3
0.41000000000000003,25.280250670889277,3
0.42,25.282542861601865,3
0.43,25.284835052314452,3
0.44,25.287127243027044,3
0.45,25.28941943373963,3
0.46,25.29171162445222,3
0.47000000000000003,25.321443103519893,3
0.48,25.40605315929774,3
0.49,25.49066321507559,3
0.5,25.575273270853437,3
0.51,25.65988332663128,3
0.52,25.74449338240913,3
0.53,25.829103438186976,3
0.54,26.0249087384764,3
0.55,26.276311661021612,3
0.56,26.527714583566823,3
0.5700000000000001,26.779117506112037,3
0.58,27.030520428657244,3
0.59,27.281923351202458,3
0.6,27.53332627374767,3
0.61,28.386878721672147,3
0.62,29.240431169596626,3
0.63,30.093983617521094,3
0.64,30.947536065445572,3
0.65,31.801088513370054,3
0.66,32.65464096129453,3
0.67,33.329861088874786,3
0.68,33.64841657576659,3
0.6900000000000001,33.96697206265839,3
0.7000000000000001,34.285527549550196,3
0.71,34.604083036442,3
0.72,34.92263852333381,3
0.73,35.24119401022561,3
0.74,35.39213026031359,3
0.75,35.45925689199965,3
0.76,35.526383523685716,3
0.77,35.593510155371774,3
0.78,35.66063678705783,3
0.79,35.7277634187439,3
0.8,35.794890050429956,3
0.81,35.81180841822088,3
0.8200000000000001,35.8287267860118,3
