cdf,request_e2e_time,replica
0.0,6.1228161211228755,0
0.01,6.5141875633572806,0
0.02,6.905559005591686,0
0.03,7.29693044782609,0
0.04,7.688301890060495,0
0.05,8.079673332294899,0
0.06,8.471044774529304,0
0.07,8.882486231392582,0
0.08,9.3340677175136,0
0.09,9.785649203634618,0
0.1,10.237230689755638,0
0.11,10.688812175876656,0
0.12,11.140393661997676,0
0.13,11.591975148118696,0
0.14,12.219840067214568,0
0.15,12.935846702797868,0
0.16,13.651853338381166,0
0.17,14.367859973964467,0
0.18,15.083866609547766,0
0.19,15.799873245131066,0
0.2,16.515879880714365,0
0.21,16.816439945521903,0
0.22,17.117000010329438,0
0.23,17.417560075136976,0
0.24,17.718120139944514,0
0.25,18.01868020475205,0
0.26,18.319240269559586,0
0.27,18.56344767232391,0
0.28,18.694949751001808,0
0.29,18.826451829679705,0
0.3,18.957953908357602,0
0.31,19.0894559870355,0
0.32,19.220958065713397,0
0.33,19.352460144391294,0
0.34,19.457764509638345,0
0.35000000000000003,19.549970018169976,0
0.36,19.642175526701607,0
0.37,19.734381035233234,0
0.38,19.826586543764865,0
0.39,19.918792052296492,0
0.4,20.010997560828123,0
0.41000000000000003,20.07681472564729,0
0.42,20.142631890466458,0
0.43,20.208449055285623,0
0.44,20.27426622010479,0
0.45,20.340083384923958,0
0.46,20.405900549743123,0
0.47000000000000003,20.49438743455754,0
0.48,20.628213759362463,0
0.49,20.76204008416739,0
0.5,20.89586640897231,0
0.51,21.029692733777235,0
0.52,21.16351905858216,0
0.53,21.297345383387082,0
0.54,21.398881876555002,0
0.55,21.48427345390442,0
0.56,21.569665031253837,0
0.5700000000000001,21.655056608603257,0
0.58,21.740448185952673,0
0.59,21.82583976330209,0
0.6,21.911231340651508,0
0.61,22.196967664027984,0
0.62,22.482703987404456,0
0.63,22.768440310780928,0
0.64,23.0541766341574,0
0.65,23.339912957533876,0
0.66,23.625649280910352,0
0.67,23.831865317785198,0
0.68,23.87904078165679,0
0.6900000000000001,23.926216245528387,0
0.7000000000000001,23.973391709399984,0
0.71,24.020567173271576,0
0.72,24.067742637143173,0
0.73,24.114918101014766,0
0.74,24.205140480629446,0
0.75,24.316886318115664,0
0.76,24.428632155601886,0
0.77,24.540377993088107,0
0.78,24.65212383057433,0
0.79,24.76386966806055,0
0.8,24.87561550554677,0
0.81,24.894865053556725,0
0.8200000000000001,24.914114601566677,0
0.8300000000000001,24.933364149576633,0
0.84,24.95261369758659,0
0.85,24.97186324559654,0
0.86,24.991112793606497,0
0.87,25.047885889802025,0
0.88,25.179706082368696,0
0.89,25.31152627493537,0
0.9,25.443346467502046,0
0.91,25.57516666006872,0
0.92,25.706986852635396,0
0.93,25.838807045202067,0
0.9400000000000001,25.95203131511366,0
0.9500000000000001,26.05595762369772,0
0.96,26.159883932281772,0
0.97,26.26381024086583,0
0.98,26.367736549449887,0
0.99,26.47166285803394,0
1.0,26.575589166618,0
0.0,10.581400040837272,1
0.01,11.322792839449935,1
0.02,12.064185638062597,1
0.03,12.80557843667526,1
0.04,13.546971235287923,1
0.05,14.288364033900585,1
0.06,15.029756832513248,1
0.07,15.629369198685696,1
0.08,15.945420699977713,1
0.09,16.26147220126973,1
0.1,16.57752370256175,1
0.11,16.893575203853764,1
0.12,17.209626705145784,1
0.13,17.525678206437803,1
0.14,18.80160321025502,1
0.15,20.557464965334837,1
0.16,22.313326720414654,1
0.17,24.069188475494478,1
0.18,25.825050230574288,1
0.19,27.58091198565411,1
0.2,29.33677374073393,1
0.21,29.448012067963738,1
0.22,29.559250395193548,1
0.23,29.670488722423357,1
0.24,29.781727049653163,1
0.25,29.892965376882973,1
0.26,30.004203704112783,1
0.27,30.122900596680655,1
0.28,30.256514619924644,1
0.29,30.390128643168637,1
0.3,30.52374266641263,1
0.31,30.65735668965662,1
0.32,30.790970712900613,1
0.33,30.924584736144602,1
0.34,31.82260964705769,1
0.35000000000000003,33.10284000180531,1
0.36,34.38307035655293,1
0.37,35.66330071130056,1
0.38,36.94353106604819,1
0.39,38.22376142079581,1
0.4,39.50399177554343,1
0.41000000000000003,41.237123702867315,1
0.42,42.970255630191204,1
0.43,44.70338755751509,1
0.44,46.436519484838975,1
0.45,48.169651412162864,1
0.46,49.90278333948676,1
0.47000000000000003,51.618670643518776,1
0.48,53.30006870096706,1
0.49,54.98146675841536,1
0.5,56.66286481586366,1
0.51,58.34426287331195,1
0.52,60.025660930760246,1
0.53,61.70705898820853,1
0.54,62.47517963117941,1
0.55,62.78666156691156,1
0.56,63.09814350264373,1
0.5700000000000001,63.40962543837589,1
0.58,63.72110737410805,1
0.59,64.03258930984022,1
0.6,64.34407124557238,1
0.61,64.6913492291038,1
0.62,65.03862721263523,1
0.63,65.38590519616666,1
0.64,65.73318317969809,1
0.65,66.08046116322951,1
0.66,66.42773914676094,1
0.67,66.74704453949711,1
0.68,67.01040475064273,1
0.6900000000000001,67.27376496178837,1
0.7000000000000001,67.537125172934,1
0.71,67.80048538407962,1
0.72,68.06384559522526,1
0.73,68.32720580637088,1
0.74,68.63952927123005,1
0.75,68.97633436294598,1
0.76,69.31313945466192,1
0.77,69.64994454637785,1
0.78,69.98674963809378,1
0.79,70.32355472980971,1
0.8,70.66035982152565,1
0.81,70.70196448891366,1
0.8200000000000001,70.74356915630167,1
0.8300000000000001,70.78517382368968,1
0.84,70.82677849107769,1
0.85,70.8683831584657,1
0.86,70.90998782585372,1
0.87,71.05591359073048,1
0.88,71.41048155058478,1
0.89,71.76504951043907,1
0.9,72.11961747029335,1
0.91,72.47418543014764,1
0.92,72.82875339000194,1
0.93,73.18332134985623,1
0.9400000000000001,73.31924559509035,1
0.9500000000000001,73.34584798301441,1
0.96,73.37245037093847,1
0.97,73.39905275886251,1
0.98,73.42565514678657,1
0.99,73.45225753471061,1
1.0,73.47885992263467,1
0.0,3.7991189829968777,2
0.01,4.196327857610134,2
0.02,4.59353673222339,2
0.03,4.990745606836646,2
0.04,5.387954481449903,2
0.05,5.785163356063158,2
0.06,6.182372230676415,2
0.07,7.384912855687954,2
0.08,10.198116981496055,2
0.09,13.011321107304155,2
0.1,15.824525233112261,2
0.11,18.63772935892036,2
0.12,21.450933484728463,2
0.13,24.264137610536572,2
0.14,25.340112496272628,2
0.15,25.547472761972664,2
0.16,25.754833027672703,2
0.17,25.962193293372742,2
0.18,26.169553559072778,2
0.19,26.376913824772817,2
0.2,26.584274090472853,2
0.21,26.593915010691216,2
0.22,26.60355593090958,2
0.23,26.61319685112794,2
0.24,26.622837771346305,2
0.25,26.632478691564668,2
0.26,26.64211961178303,2
0.27,26.68222689570944,2
0.28,26.783266907051946,2
0.29,26.884306918394447,2
0.3,26.98534692973695,2
0.31,27.086386941079454,2
0.32,27.187426952421955,2
0.33,27.28846696376446,2
0.34,27.490441082857835,2
0.35000000000000003,27.742882255826647,2
0.36,27.99532342879546,2
0.37,28.24776460176427,2
0.38,28.500205774733082,2
0.39,28.752646947701894,2
0.4,29.005088120670706,2
0.41000000000000003,29.1187858875189,2
0.42,29.232483654367098,2
0.43,29.34618142121529,2
0.44,29.459879188063486,2
0.45,29.57357695491168,2
0.46,29.687274721759877,2
0.47000000000000003,29.791524799376525,2
0.48,29.876879498530077,2
0.49,29.962234197683628,2
0.5,30.04758889683718,2
0.51,30.13294359599073,2
0.52,30.218298295144283,2
0.53,30.303652994297835,2
0.54,30.344392225651962,2
0.55,30.362823723106374,2
0.56,30.381255220560785,2
0.5700000000000001,30.399686718015197,2
0.58,30.41811821546961,2
0.59,30.436549712924023,2
0.6,30.454981210378435,2
0.61,30.66563616747475,2
0.62,30.876291124571072,2
0.63,31.086946081667385,2
0.64,31.297601038763705,2
0.65,31.508255995860022,2
0.66,31.71891095295634,2
0.67,31.86530703198169,2
0.68,31.883185354865105,2
0.6900000000000001,31.901063677748525,2
0.7000000000000001,31.91894200063194,2
0.71,31.936820323515356,2
0.72,31.954698646398775,2
0.73,31.97257696928219,2
0.74,32.07951079697766,2
0.75,32.230972377079155,2
0.76,32.38243395718065,2
0.77,32.53389553728215,2
0.78,32.685357117383646,2
0.79,32.836818697485135,2
0.8,32.98828027758663,2
0.81,33.30005080088261,2
0.8200000000000001,33.61182132417858,2
0.8300000000000001,33.923591847474555,2
0.84,34.23536237077053,2
0.85,34.54713289406651,2
0.86,34.85890341736249,2
0.87,35.33331246025921,2
0.88,36.1329985423574,2
0.89,36.932684624455604,2
0.9,37.7323707065538,2
0.91,38.532056788652,2
0.92,39.331742870750205,2
0.93,40.1314289528484,2
0.9400000000000001,40.50270135915837,2
0.9500000000000001,40.65976692757424,2
0.96,40.8168324959901,2
0.97,40.97389806440596,2
0.98,41.130963632821825,2
0.99,41.288029201237684,2
1.0,41.44509476965355,2
0.0,29.770157126017,3
0.01,29.859209447542067,3
0.02,29.94826176906713,3
0.03,30.037314090592197,3
0.04,30.126366412117264,3
0.05,30.21541873364233,3
0.06,30.304471055167394,3
0.07,31.521977283004983,3
0.08,34.996391323467606,3
0.09,38.47080536393023,3
0.1,41.94521940439286,3
0.11,45.419633444855485,3
0.12,48.89404748531811,3
0.13,52.368461525780745,3
0.14,53.53792193808044,3
0.15,53.55490553629866,3
0.16,53.57188913451689,3
0.17,53.58887273273512,3
0.18,53.605856330953344,3
0.19,53.622839929171576,3
0.2,53.6398235273898,3
0.21,54.02061485420773,3
0.22,54.40140618102565,3
0.23,54.78219750784358,3
0.24,55.1629888346615,3
0.25,55.543780161479425,3
0.26,55.92457148829735,3
0.27,56.23266931513029,3
0.28,56.39538014199324,3
0.29,56.5580909688562,3
0.3,56.720801795719154,3
0.31,56.88351262258212,3
0.32,57.04622344944507,3
0.33,57.20893427630803,3
0.34,57.39457182073937,3
0.35000000000000003,57.591672723954915,3
0.36,57.78877362717045,3
0.37,57.98587453038599,3
0.38,58.182975433601534,3
0.39,58.38007633681707,3
0.4,58.57717724003261,3
0.41000000000000003,58.70065992654307,3
0.42,58.82414261305352,3
0.43,58.947625299563974,3
0.44,59.07110798607443,3
0.45,59.19459067258488,3
0.46,59.31807335909534,3
0.47000000000000003,59.44879580974961,3
0.48,59.593997788691546,3
0.49,59.73919976763347,3
0.5,59.8844017465754,3
0.51,60.029603725517326,3
0.52,60.17480570445925,3
0.53,60.32000768340119,3
0.54,60.3929152855146,3
0.55,60.429675699213746,3
0.56,60.4664361129129,3
0.5700000000000001,60.50319652661206,3
0.58,60.539956940311214,3
0.59,60.57671735401036,3
0.6,60.61347776770952,3
0.61,60.76114380712204,3
0.62,60.90880984653457,3
0.63,61.05647588594709,3
0.64,61.20414192535961,3
0.65,61.35180796477213,3
0.66,61.499474004184655,3
0.67,61.609378006072184,3
0.68,61.64375793290974,3
0.6900000000000001,61.6781378597473,3
0.7000000000000001,61.71251778658486,3
0.71,61.74689771342242,3
0.72,61.78127764025998,3
0.73,61.81565756709754,3
0.74,61.859066428204734,3
0.75,61.906989756446755,3
0.76,61.95491308468877,3
0.77,62.00283641293079,3
0.78,62.05075974117281,3
0.79,62.098683069414825,3
0.8,62.146606397656846,3
0.81,62.17965295278669,3
0.8200000000000001,62.21269950791653,3
0.8300000000000001,62.24574606304638,3
0.84,62.278792618176226,3
0.85,62.31183917330607,3
0.86,62.34488572843592,3
0.87,62.45547214064168,3
0.88,62.72113826699928,3
0.89,62.986804393356884,3
0.9,63.252470519714485,3
0.91,63.51813664607209,3
0.92,63.78380277242969,3
0.93,64.0494688987873,3
0.9400000000000001,64.6506767166108,3
0.9500000000000001,65.41965538016728,3
0.96,66.18863404372375,3
0.97,66.95761270728023,3
0.98,67.72659137083672,3
0.99,68.49557003439318,3
1.0,69.26454869794966,3
0.0,0.7811040037342738,4
0.01,1.2869137302725777,4
0.02,1.7927234568108816,4
0.03,2.2985331833491855,4
0.04,2.804342909887489,4
0.05,3.3101526364257934,4
0.06,3.815962362964097,4
0.07,4.159587602497504,4
0.08,4.178843868021115,4
0.09,4.198100133544726,4
0.1,4.217356399068337,4
0.11,4.236612664591949,4
0.12,4.255868930115559,4
0.13,4.275125195639171,4
0.14,4.338909022742072,4
0.15,4.424956630634618,4
0.16,4.511004238527164,4
0.17,4.597051846419711,4
0.18,4.683099454312257,4
0.19,4.769147062204803,4
0.2,4.855194670097349,4
0.21,5.279922087567625,4
0.22,5.704649505037901,4
0.23,6.129376922508179,4
0.24,6.554104339978453,4
0.25,6.978831757448731,4
0.26,7.403559174919008,4
0.27,7.885118387867253,4
0.28,8.48034119177143,4
0.29,9.075563995675607,4
0.3,9.670786799579787,4
0.31,10.266009603483965,4
0.32,10.861232407388142,4
0.33,11.456455211292322,4
0.34,12.030014924526988,4
0.35000000000000003,12.592743092426893,4
0.36,13.155471260326799,4
0.37,13.718199428226706,4
0.38,14.280927596126615,4
0.39,14.843655764026522,4
0.4,15.406383931926428,4
0.41000000000000003,15.457128284057823,4
0.42,15.507872636189218,4
0.43,15.558616988320614,4
0.44,15.60936134045201,4
0.45,15.660105692583404,4
0.46,15.7108500447148,4
0.47000000000000003,15.752147081494636,4
0.48,15.774549487571356,4
0.49,15.796951893648075,4
0.5,15.819354299724795,4
0.51,15.841756705801515,4
0.52,15.864159111878234,4
0.53,15.886561517954954,4
0.54,15.903059507269305,4
0.55,15.916605288202472,4
0.56,15.930151069135642,4
0.5700000000000001,15.94369685006881,4
0.58,15.957242631001977,4
0.59,15.970788411935146,4
0.6,15.984334192868314,4
0.61,16.344119400403443,4
0.62,16.703904607938572,4
0.63,17.063689815473698,4
0.64,17.423475023008827,4
0.65,17.783260230543956,4
0.66,18.143045438079085,4
0.67,18.395391038716397,4
0.68,18.432857425558073,4
0.6900000000000001,18.470323812399748,4
0.7000000000000001,18.507790199241427,4
0.71,18.545256586083102,4
0.72,18.582722972924778,4
0.73,18.620189359766457,4
0.74,18.722487145820423,4
0.75,18.85720063148054,4
0.76,18.99191411714066,4
0.77,19.126627602800774,4
0.78,19.26134108846089,4
0.79,19.39605457412101,4
0.8,19.530768059781124,4
0.81,19.575873543528367,4
0.8200000000000001,19.62097902727561,4
0.8300000000000001,19.666084511022852,4
0.84,19.711189994770095,4
0.85,19.756295478517337,4
0.86,19.80140096226458,4
0.87,19.88294552118144,4
0.88,20.03736823043753,4
0.89,20.19179093969362,4
0.9,20.346213648949714,4
0.91,20.500636358205803,4
0.92,20.655059067461895,4
0.93,20.809481776717988,4
0.9400000000000001,21.10818257262776,4
0.9500000000000001,21.479022411864385,4
0.96,21.849862251101,4
0.97,22.220702090337625,4
0.98,22.591541929574245,4
0.99,22.962381768810864,4
1.0,23.333221608047488,4
0.0,4.4632882270498975,5
0.01,5.274295151392576,5
0.02,6.085302075735255,5
0.03,6.896309000077935,5
0.04,7.707315924420612,5
0.05,8.518322848763292,5
0.06,9.32932977310597,5
0.07,10.086623008369218,5
0.08,10.736488865473602,5
0.09,11.386354722577986,5
0.1,12.036220579682372,5
