QPS,VLLM_P50_Config,VLLM_P90_Config,VLLM_P99_Config,VLLM_P50,VLLM_P90,VLLM_P99,Vidur_P50_Config,Vidur_P90_Config,Vidur_P99_Config,Vidur_P50,Vidur_P90,Vidur_P99,Ratio_P50,Ratio_P90,Ratio_P99,VLLM_Latency_Ratio_P50,VLLM_Latency_Ratio_P90,VLLM_Latency_Ratio_P99,VLLM_vs_R1TP1PP1_P50,VLLM_vs_R1TP1PP1_P90,VLLM_vs_R1TP1PP1_P99,R1TP1PP1_vs_VLLM_Min_P50,R1TP1PP1_vs_VLLM_Min_P90,R1TP1PP1_vs_VLLM_Min_P99,Avg_Pred_Error_P50,Avg_Pred_Error_P90,Avg_Pred_Error_P99
0.25,R2-TP1-PP1,R8-TP1-PP1,R1-TP1-PP1,8.71532118320465,9.085087966918943,9.280104157924653,R1-TP8-PP1,R1-TP8-PP1,R1-TP8-PP1,4.081764,4.1667202,4.2292774600000005,2.135184979632495,2.1803930983700184,2.19425285895635,1.2224464584334716,1.1784489651983314,1.1568183477780019,0.9679485832599687,0.9854394072942697,1.0,1.0331127265376894,1.0147757361822067,1.0,-28.562872356484082,-31.3935759270069,-31.86130238694587
0.5,R2-TP1-PP1,R2-TP1-PP1,R2-TP1-PP1,9.052412748336792,9.44125542640686,9.604648768901823,R1-TP8-PP1,R1-TP8-PP1,R1-TP8-PP1,4.155329500000001,4.29534,4.398085289999999,2.1785066017837553,2.1980228401958537,2.1838250364857807,1.195048728591866,1.1791210046580543,1.2074415880270823,0.9795446254063088,0.9371947257842748,0.9410217524809733,1.0208825346626822,1.0670141140232812,1.062674690955371,-31.972850780181147,-33.27875308722938,-32.69200136187426
2.0,R2-TP1-PP1,R4-TP1-PP1,R4-TP1-PP1,9.949712991714478,10.81111023426056,10.915153398513795,R1-TP8-PP1,R1-TP8-PP1,R1-TP8-PP1,4.834423,5.1359845,5.24375137,2.058097314139552,2.10497329854881,2.081554335501188,1.091233608759066,1.0523489130063979,1.0977638788682047,0.7642089423449041,0.7781466938186198,0.7832986618443388,1.3085426571057817,1.2851047340350104,1.2766522511929494,-25.05582778352101,-23.60375453719987,-21.46985755963998
8.0,R8-TP1-PP1,R2-TP4-PP1,R2-TP4-PP1,11.28672170639038,11.822281122207642,12.03556399345398,R8-TP1-PP1,R8-TP1-PP1,R8-TP1-PP1,8.5071275,8.6958611,8.87403709,1.3267371044327692,1.359529664314399,1.3562670373573997,1.0,1.0647794213721504,1.078485370388499,0.4917034905496063,0.5080220680656617,0.5154825476300808,2.033745985578098,1.9684184267970626,1.9399298862735064,-3.069324219433617,12.22355938532742,15.420048776255555
15.0,R2-TP4-PP1,R2-TP4-PP1,R2-TP4-PP1,13.910672545433044,14.24576461315155,14.377758316993711,R8-TP1-PP1,R8-TP1-PP1,R8-TP1-PP1,8.75943,10.0189366,10.3485783,1.5880796519217626,1.4218838966554146,1.389346236767007,1.023240839823891,1.1540559923887552,1.1693714388069938,0.20746142471660095,0.1712780167980395,0.1722009488914672,4.820173202637707,5.838460876033721,5.807168929308679,-44.19884768536063,-39.57882968938437,-37.46442427137861
25.0,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,12.88918673992157,13.710675930976867,13.865907561779022,R8-TP1-PP1,R8-TP1-PP1,R8-TP1-PP1,8.8893195,10.17244,10.51943934,1.4499632665831812,1.3478256869518883,1.3181222985006558,1.0187429452018402,1.0627441238721242,1.0673687234475304,0.188104364317578,0.15962788009113743,0.16066053395942956,5.316197758770193,6.264569819689788,6.224303974070712,-46.48761701863553,-42.594453800775696,-40.86707083541011
