QPS,VLLM_Config,VLLM_Latency_P50,Vidur_Config,Vidur_Latency_P50,Ratio
0.25,R2-TP1-PP1,8.71532118320465,R1-TP8-PP1,4.081764,2.135184979632495
0.5,R2-TP1-PP1,9.052412748336792,R1-TP8-PP1,4.155329500000001,2.1785066017837553
2.0,R2-TP1-PP1,9.949712991714478,R1-TP8-PP1,4.834423,2.058097314139552
8.0,R8-TP1-PP1,11.28672170639038,R8-TP1-PP1,8.5071275,1.3267371044327692
15.0,R2-TP4-PP1,13.910672545433044,R8-TP1-PP1,8.75943,1.5880796519217626
25.0,R4-TP2-PP1,12.88918673992157,R8-TP1-PP1,8.8893195,1.4499632665831812
