QPS,VLLM_P50_Config,VLLM_P90_Config,VLLM_P99_Config,VLLM_P50,VLLM_P90,VLLM_P99,Vidur_P50_Config,Vidur_P90_Config,Vidur_P99_Config,Vidur_P50,Vidur_P90,Vidur_P99,Ratio_P50,Ratio_P90,Ratio_P99,VLLM_Latency_Ratio_P50,VLLM_Latency_Ratio_P90,VLLM_Latency_Ratio_P99,R1TP1PP1_vs_VLLM_Min_P50,R1TP1PP1_vs_VLLM_Min_P90,R1TP1PP1_vs_VLLM_Min_P99,Avg_Pred_Error_P50,Avg_Pred_Error_P90,Avg_Pred_Error_P99
2,R8-TP1-PP1,R1-TP8-PP1,R1-TP8-PP1,10.783854484558104,11.10627806186676,11.173267967700959,R2-TP4-PP1,R2-TP4-PP1,R2-TP4-PP1,4.739561500000001,4.8877588,5.121965059999999,2.2752852736604647,2.2722639386106285,2.1814416609278786,1.1842822509033897,1.1657559377239042,1.1642597544734223,1.5569791060792166,1.8668447219165172,1.9274301905340208,-39.05247941524103,-40.14897798556067,-39.55794090451576
5,R2-TP4-PP1,R2-TP4-PP1,R2-TP4-PP1,12.11263346672058,12.639452481269837,12.70509450674057,R2-TP4-PP1,R2-TP4-PP1,R2-TP4-PP1,6.8954585,7.222462399999999,7.47144534,1.7566103061486888,1.750019838285325,1.7004868440542684,1.0,1.0,1.0,4.8821495038970015,5.431581305725766,5.480182858637807,-44.88053185269572,-44.00242082940851,-43.474676920081954
8,R2-TP4-PP1,R2-TP4-PP1,R2-TP4-PP1,13.21398675441742,13.706640028953553,13.78652971982956,R2-TP4-PP1,R2-TP4-PP1,R2-TP4-PP1,7.459714,8.2306164,8.470741929999999,1.7713798081826488,1.665323635900897,1.6275468942104296,1.0,1.0,1.0,4.805923671967354,5.62972407263839,5.609378385271392,-42.278815277388915,-36.45819346118021,-35.239122527994994
