Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
2025-07-15_22-26-13-932884,meta-llama/Meta-Llama-3-8B,1,1,1,15.03075744642857,14.8614015,16.3427145,16.906048249999998,12.965973267857143,13.1276055,16.1963995,16.84409835
2025-07-15_22-26-47-881041,meta-llama/Meta-Llama-3-8B,1,8,1,5.990150446428572,6.1252775,7.1050205,7.2871540999999995,5.9082923392857145,5.9602815,7.0998965,7.284364500000001
2025-07-15_22-27-19-649166,meta-llama/Meta-Llama-3-8B,2,1,1,9.842463785714285,9.961496,11.3259455,11.59689925,9.733300553571429,9.7777785,11.3057845,11.59689925
2025-07-15_22-27-57-883255,meta-llama/Meta-Llama-3-8B,4,1,1,7.880447267857143,7.9001745,8.699976,8.81385835,7.871510428571428,7.864088499999999,8.688365000000001,8.81385835
2025-07-15_22-28-35-559760,meta-llama/Meta-Llama-3-8B,8,1,1,7.289460749999999,7.276553,7.7252955,7.73118155,7.283123482142857,7.269588499999999,7.7252955,7.73118155
