QPS,VLLM_P50_Config,VLLM_P90_Config,VLLM_P99_Config,VLLM_P50,VLLM_P90,VLLM_P99,Vidur_P50_Config,Vidur_P90_Config,Vidur_P99_Config,Vidur_P50,Vidur_P90,Vidur_P99,Ratio_P50,Ratio_P90,Ratio_P99,VLLM_Latency_Ratio_P50,VLLM_Latency_Ratio_P90,VLLM_Latency_Ratio_P99,R1TP1PP1_vs_VLLM_Min_P50,R1TP1PP1_vs_VLLM_Min_P90,R1TP1PP1_vs_VLLM_Min_P99,Avg_Pred_Error_P50,Avg_Pred_Error_P90,Avg_Pred_Error_P99
2,R2-TP1-PP1,R2-TP1-PP1,R2-TP1-PP1,7.499669909477234,7.5727968454360965,7.662710089683532,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,2.9924660000000003,3.048918,3.10235672,2.506183832824578,2.483765337551255,2.4699642179393,1.2597851808097469,1.2614690087154385,1.2880969707094276,1.011056496547682,1.0391209607096514,1.0365242684426592,-53.21919635395655,-52.17203825434807,-52.02953414296907
5,R4-TP1-PP1,R4-TP1-PP1,R2-TP1-PP1,7.815093040466309,7.9627107858657835,8.047437651157379,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,3.134679,3.1967359,3.24195435,2.4931079196518393,2.4908879040854712,2.4822797554682965,1.1991977394221816,1.2103468157584159,1.2419549922952013,1.0703762691557819,1.0994319374474957,1.1097810462852535,-43.95376050648244,-41.18104383456589,-40.66504232678467
8,R4-TP1-PP1,R4-TP1-PP1,R4-TP1-PP1,8.096699237823486,8.288734078407288,8.501718266010284,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,3.294829,3.4257647,3.50048049,2.4573958884735707,2.4195281358370258,2.4287289388692703,1.223194728577588,1.2254396873472486,1.2184937757787289,1.3936884986338935,1.5525408407747565,1.545002643756211,-36.509162410435025,-31.067504520344677,-30.94712862076586
