QPS,VLLM_P50_Config,VLLM_P90_Config,VLLM_P99_Config,VLLM_P50,VLLM_P90,VLLM_P99,Vidur_P50_Config,Vidur_P90_Config,Vidur_P99_Config,Vidur_P50,Vidur_P90,Vidur_P99,Ratio_P50,Ratio_P90,Ratio_P99,VLLM_Latency_Ratio_P50,VLLM_Latency_Ratio_P90,VLLM_Latency_Ratio_P99,R1TP1PP1_vs_VLLM_Min_P50,R1TP1PP1_vs_VLLM_Min_P90,R1TP1PP1_vs_VLLM_Min_P99,Avg_Pred_Error_P50,Avg_Pred_Error_P90,Avg_Pred_Error_P99
8,R8-TP1-PP1,R4-TP1-PP1,R4-TP1-PP1,8.660174250602722,8.925134539604187,9.090234568119048,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,3.7065115,3.8203406,3.87962423,2.3364757537114675,2.336214352093158,2.343070882439315,1.0773176307666212,1.0643205991014628,1.0620288065415848,1.5395642784410333,1.571163206677543,1.568868712322347,-39.03446915336863,-36.44980878834926,-36.46544489133025
15,R4-TP1-PP1,R8-TP1-PP1,R8-TP1-PP1,8.82559061050415,9.447257041931152,9.526413455009461,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,4.243912,4.3973047,4.44922524,2.079588504781473,2.148419926854546,2.14113984820635,1.0953039680732286,1.0657765283989258,1.0757992408340105,1.8599627983848595,2.083435921784884,2.124618858980176,-41.06475284312968,-36.09155185480651,-35.59023051207242
20,R8-TP1-PP1,R8-TP1-PP1,R8-TP1-PP1,8.549697160720825,9.200872492790221,9.351643695831301,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,4.339989,4.8882144,4.96194044,1.9699812973537087,1.8822563291802876,1.8846747172626885,1.1421953534951128,1.0972543384134401,1.0933482657682465,2.050074136861406,2.2870414457069645,2.3477949263866007,-44.03492321479618,-37.867937464095945,-37.16694179864307
40,R8-TP1-PP1,R8-TP1-PP1,R8-TP1-PP1,8.274545431137085,8.603326749801635,8.6725825214386,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,4.33811,5.1340806,5.316777409999999,1.9074079336709038,1.6757288052317751,1.6311727673847831,1.185884922528722,1.1704100703118823,1.1734616147221915,2.3983147966030844,2.905115531237914,2.996078037809302,-50.310859018430904,-48.54980419770297,-48.10133108044553
