QPS,VLLM_P50_Config,VLLM_P90_Config,VLLM_P99_Config,VLLM_P50,VLLM_P90,VLLM_P99,Vidur_P50_Config,Vidur_P90_Config,Vidur_P99_Config,Vidur_P50,Vidur_P90,Vidur_P99,Ratio_P50,Ratio_P90,Ratio_P99,VLLM_Latency_Ratio_P50,VLLM_Latency_Ratio_P90,VLLM_Latency_Ratio_P99,R1TP1PP1_vs_VLLM_Min_P50,R1TP1PP1_vs_VLLM_Min_P90,R1TP1PP1_vs_VLLM_Min_P99,Avg_Pred_Error_P50,Avg_Pred_Error_P90,Avg_Pred_Error_P99
2,R2-TP1-PP1,R2-TP1-PP1,R2-TP1-PP1,7.499669909477234,7.5727968454360965,7.662710089683532,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,3.7085065,3.765083,3.78230773,2.022288462883167,2.0113226841044662,2.025935126564525,1.2597851808097469,1.2614690087154385,1.2880969707094276,1.011056496547682,1.0391209607096514,1.0365242684426592,-44.60755147171627,-43.57854777016731,-43.67238142539342
5,R4-TP1-PP1,R4-TP1-PP1,R2-TP1-PP1,7.815093040466309,7.9627107858657835,8.047437651157379,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,3.9063555,4.0267218,4.062312079999999,2.0006097858902776,1.9774673248759782,1.9809993650604463,1.1991977394221816,1.2103468157584159,1.2419549922952013,1.0703762691557819,1.0994319374474957,1.1097810462852535,-34.185863097624534,-31.72397531408552,-31.53221912924834
8,R4-TP1-PP1,R4-TP1-PP1,R4-TP1-PP1,8.096699237823486,8.288734078407288,8.501718266010284,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,4.1637035,4.2868008,4.35092092,1.9445907322227645,1.9335477586006067,1.9540043182421905,1.223194728577588,1.2254396873472486,1.2184937757787289,1.3936884986338935,1.5525408407747565,1.545002643756211,-28.984884832395927,-23.971627581359503,-23.962724592097906
15,R8-TP1-PP1,R8-TP1-PP1,R8-TP1-PP1,8.627504825592041,9.090186500549317,9.419911956787107,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,4.7825945,5.0824343,5.1395488,1.8039381815857567,1.7885497310903393,1.8328285854172854,1.1724475298412018,1.1387897453976823,1.128734944966201,1.860611664422452,1.8586070499069038,1.8110924647928908,-32.979863933786746,-23.588653746832243,-22.493326095728335
20,R8-TP1-PP1,R8-TP1-PP1,R4-TP1-PP1,8.636122226715088,9.361745929718017,9.527334840297701,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,4.822158999999999,5.622115999999999,5.70560982,1.79092440268251,1.6651641356596019,1.6698188521236281,1.1889717949512184,1.1352294163926275,1.1374327966609792,2.01449498740038,2.109382024682702,2.0971648416942266,-35.835820990519935,-27.752741871891338,-26.495331970194787
40,R8-TP1-PP1,R4-TP1-PP1,R4-TP1-PP1,8.604703187942505,8.919012260437011,8.969588668346406,R4-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,4.9147745,5.823626099999999,6.025580839999999,1.7507829073220968,1.5315221319646555,1.488584902687391,1.1945936909413966,1.180780236785919,1.1923089575217045,2.203012110502248,2.5298869641400774,2.593128749103567,-43.0344704939821,-40.691574599334686,-39.84663820778206
