model_name,tensor_parallel_size,num_replicas,network_device,qps
meta-llama/Meta-Llama-3-8B,1,1,a10g_g5,"[1.0, 1.5, 1.75, 1.875, 1.9375, 1.953125, 1.96875, 2.0, 4.0]"
meta-llama/Meta-Llama-3-8B,1,1,h100_p5,"[2.0, 4.0, 8.0, 16.0, 32.0, 64.0, 72.0, 76.0, 80.0, 96.0, 128.0]"
meta-llama/Meta-Llama-3-8B,1,1,l40s_g6e48,"[2.0, 4.0, 8.0, 16.0, 24.0, 26.0, 27.0, 27.25, 27.5, 28.0, 32.0]"
meta-llama/Meta-Llama-3-8B,1,1,l4_g6,"[1.0, 1.25, 1.375, 1.4375, 1.46875, 1.484375, 1.4921875, 1.5, 2.0, 4.0]"
meta-llama/Meta-Llama-3-8B,1,1,p4d_a100_40g_nvlink,"[2.0, 4.0, 8.0, 16.0, 24.0, 26.0, 27.0, 27.25, 27.5, 28.0, 32.0]"
meta-llama/Meta-Llama-3-8B,1,2,a10g_g5,"[4.0, 8.0, 10.0, 10.5, 10.75, 10.8125, 10.875, 11.0, 12.0, 16.0]"
meta-llama/Meta-Llama-3-8B,1,2,h100_p5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 160.0, 176.0, 192.0, 256.0]"
meta-llama/Meta-Llama-3-8B,1,2,l40s_g6e48,"[4.0, 8.0, 16.0, 32.0, 64.0, 68.0, 72.0, 80.0, 96.0, 128.0]"
meta-llama/Meta-Llama-3-8B,1,2,l4_g6,"[4.0, 6.0, 7.0, 7.5, 7.5625, 7.625, 7.75, 8.0]"
meta-llama/Meta-Llama-3-8B,1,2,p4d_a100_40g_nvlink,"[4.0, 8.0, 16.0, 32.0, 64.0, 68.0, 72.0, 80.0, 96.0, 128.0]"
meta-llama/Meta-Llama-3-8B,1,4,a10g_g5,"[4.0, 8.0, 16.0, 24.0, 28.0, 30.0, 30.25, 30.5, 31.0, 32.0]"
meta-llama/Meta-Llama-3-8B,1,4,h100_p5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 320.0, 384.0, 512.0]"
meta-llama/Meta-Llama-3-8B,1,4,l40s_g6e48,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 144.0, 160.0, 192.0, 256.0]"
meta-llama/Meta-Llama-3-8B,1,4,l4_g6,"[4.0, 8.0, 16.0, 24.0, 25.0, 25.25, 25.5, 26.0, 28.0, 32.0]"
meta-llama/Meta-Llama-3-8B,1,4,p4d_a100_40g_nvlink,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 144.0, 160.0, 192.0, 256.0]"
meta-llama/Meta-Llama-3-8B,1,8,a10g_g5,"[4.0, 8.0, 16.0, 32.0, 64.0, 72.0, 76.0, 80.0, 96.0, 128.0]"
meta-llama/Meta-Llama-3-8B,1,8,h100_p5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 512.0, 1024.0, 2048.0]"
meta-llama/Meta-Llama-3-8B,1,8,l40s_g6e48,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 320.0, 384.0, 512.0]"
meta-llama/Meta-Llama-3-8B,1,8,l4_g6,"[4.0, 8.0, 16.0, 32.0, 48.0, 52.0, 54.0, 55.0, 56.0, 64.0]"
meta-llama/Meta-Llama-3-8B,1,8,p4d_a100_40g_nvlink,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 320.0, 384.0, 512.0]"
meta-llama/Meta-Llama-3-8B,2,1,a10g_g5,"[0.25, 0.3125, 0.34375, 0.359375, 0.3671875, 0.375, 0.5, 1.0, 2.0, 4.0]"
meta-llama/Meta-Llama-3-8B,2,1,h100_p5,"[2.0, 4.0, 8.0, 16.0, 32.0, 64.0, 96.0, 100.0, 104.0, 112.0, 128.0]"
meta-llama/Meta-Llama-3-8B,2,1,l40s_g6e48,"[2.0, 4.0, 5.0, 5.5, 5.625, 5.65625, 5.6875, 5.75, 6.0, 8.0]"
meta-llama/Meta-Llama-3-8B,2,1,l4_g6,"[1.0, 1.5, 1.625, 1.65625, 1.671875, 1.6875, 1.75, 2.0, 4.0]"
meta-llama/Meta-Llama-3-8B,2,1,p4d_a100_40g_nvlink,"[2.0, 4.0, 8.0, 16.0, 32.0, 40.0, 44.0, 46.0, 47.0, 48.0, 64.0]"
meta-llama/Meta-Llama-3-8B,2,2,a10g_g5,"[2.0, 2.0625, 2.09375, 2.109375, 2.125, 2.25, 2.5, 3.0, 4.0]"
meta-llama/Meta-Llama-3-8B,2,2,h100_p5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 192.0, 208.0, 224.0, 256.0]"
meta-llama/Meta-Llama-3-8B,2,2,l40s_g6e48,"[4.0, 8.0, 16.0, 24.0, 25.0, 25.25, 25.5, 26.0, 28.0, 32.0]"
meta-llama/Meta-Llama-3-8B,2,2,l4_g6,"[4.0, 6.0, 7.0, 7.25, 7.3125, 7.375, 7.5, 8.0]"
meta-llama/Meta-Llama-3-8B,2,2,p4d_a100_40g_nvlink,"[4.0, 8.0, 16.0, 32.0, 64.0, 96.0, 104.0, 108.0, 112.0, 128.0]"
meta-llama/Meta-Llama-3-8B,2,4,a10g_g5,"[4.0, 8.0, 8.0625, 8.125, 8.25, 8.5, 9.0, 10.0, 12.0, 16.0]"
meta-llama/Meta-Llama-3-8B,2,4,h100_p5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 512.0, 768.0, 1024.0]"
meta-llama/Meta-Llama-3-8B,2,4,l40s_g6e48,"[4.0, 8.0, 16.0, 32.0, 48.0, 56.0, 58.0, 59.0, 60.0, 64.0]"
meta-llama/Meta-Llama-3-8B,2,4,l4_g6,"[4.0, 8.0, 16.0, 24.0, 28.0, 29.0, 29.5, 29.75, 30.0, 32.0]"
meta-llama/Meta-Llama-3-8B,2,4,p4d_a100_40g_nvlink,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 192.0, 224.0, 240.0, 256.0]"
meta-llama/Meta-Llama-3-8B,4,1,a10g_g5,"[0.0625, 0.09375, 0.1015625, 0.109375, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]"
meta-llama/Meta-Llama-3-8B,4,1,h100_p5,"[2.0, 4.0, 8.0, 16.0, 32.0, 64.0, 96.0, 112.0, 120.0, 124.0, 128.0]"
meta-llama/Meta-Llama-3-8B,4,1,l40s_g6e48,"[2.0, 4.0, 5.0, 5.5, 5.53125, 5.5625, 5.625, 5.75, 6.0, 8.0]"
meta-llama/Meta-Llama-3-8B,4,1,l4_g6,"[2.0, 3.0, 3.5, 3.75, 3.875, 3.9375, 3.96875, 4.0]"
meta-llama/Meta-Llama-3-8B,4,1,p4d_a100_40g_nvlink,"[2.0, 4.0, 8.0, 16.0, 32.0, 64.0, 72.0, 76.0, 80.0, 96.0, 128.0]"
meta-llama/Meta-Llama-3-8B,4,2,a10g_g5,"[0.5, 0.625, 0.65625, 0.671875, 0.6796875, 0.6875, 0.75, 1.0, 2.0, 4.0]"
meta-llama/Meta-Llama-3-8B,4,2,h100_p5,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 256.0, 320.0, 384.0, 512.0]"
meta-llama/Meta-Llama-3-8B,4,2,l40s_g6e48,"[4.0, 8.0, 16.0, 20.0, 22.0, 23.0, 23.5, 23.75, 24.0, 32.0]"
meta-llama/Meta-Llama-3-8B,4,2,l4_g6,"[4.0, 8.0, 12.0, 14.0, 15.0, 15.5, 15.75, 15.875, 16.0]"
meta-llama/Meta-Llama-3-8B,4,2,p4d_a100_40g_nvlink,"[4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 144.0, 160.0, 192.0, 256.0]"
meta-llama/Meta-Llama-3-8B,8,1,a10g_g5,"[0.125, 0.15625, 0.1640625, 0.171875, 0.1875, 0.25, 0.5, 1.0, 2.0, 4.0]"
meta-llama/Meta-Llama-3-8B,8,1,h100_p5,"[2.0, 4.0, 8.0, 16.0, 32.0, 64.0, 128.0, 144.0, 160.0, 192.0, 256.0]"
meta-llama/Meta-Llama-3-8B,8,1,l40s_g6e48,"[2.0, 2.25, 2.375, 2.40625, 2.421875, 2.4375, 2.5, 3.0, 4.0]"
meta-llama/Meta-Llama-3-8B,8,1,l4_g6,"[2.0, 2.0625, 2.078125, 2.09375, 2.125, 2.25, 2.5, 3.0, 4.0]"
meta-llama/Meta-Llama-3-8B,8,1,p4d_a100_40g_nvlink,"[2.0, 4.0, 8.0, 16.0, 32.0, 64.0, 80.0, 88.0, 92.0, 96.0, 128.0]"
