Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,24.33420715333333,24.729716500000002,31.8925437,32.70574788,24.222369906666668,24.533273,31.866792,32.67272251
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,58.83331300666667,59.0051385,68.61536670000001,71.57355211,46.519665360000005,46.2715805,67.0335251,71.31168711000001
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,55.729808006666666,55.901356,65.5460857,68.51588466999999,44.321657293333324,44.088175,64.0297477,68.26352582999999
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,91.01298845333334,91.19614899999999,100.73879070000001,103.6874313,65.47088796666668,65.616939,96.3433214,103.435728
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,14.770410419999997,15.5073905,18.2643528,18.95169082,14.737473833333333,15.4987895,18.2502991,18.93606725
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,26.783775706666667,27.1799775,35.8356479,37.47258705,26.028157853333337,26.186571,35.7257678,37.46884518
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,24.988516139999998,25.3025125,34.2021189,35.60835171,24.284136906666664,23.9491935,34.156285,35.604522849999995
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,9.727581686666667,10.071375,10.564970800000001,10.67986184,9.720169633333333,10.064016,10.5566281,10.67023215
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,12.876546873333336,13.772939000000001,15.6584436,16.29897397,12.856657173333334,13.768670499999999,15.6541313,16.27423576
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,8.281683173333334,8.345398,8.6398251,8.66147039,8.27514866,8.3363655,8.6361466,8.65463038
