Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
run_20250717_031710,meta-llama/Meta-Llama-3-8B,1,1,1,512,512,8,2.0,512,0.7,0.9,17314.490184783936,16790.236115455627,20733.696579933167,21535.694007873535,375.4020818074544,318.808913230896,580.8535575866699,999.1635870933517,33.66674231221807,26.447296142578125,62.135934829711914,68.79901885986328,819.0527777776881,150,307344,75621
run_20250717_031913,meta-llama/Meta-Llama-3-8B,2,1,1,512,512,8,2.0,512,0.7,0.9,12656.952362060547,12323.26865196228,14930.61695098877,15107.921433448792,257.07336743672687,240.89324474334717,337.2177124023437,446.316130161285,24.646613140595004,19.803762435913086,46.692728996276855,52.08873748779297,871.3451596135882,150,307344,75616
run_20250717_032111,meta-llama/Meta-Llama-3-8B,4,1,1,512,512,8,2.0,512,0.7,0.9,11553.915114402771,11919.825673103333,13159.956550598145,13387.941830158234,223.8846238454183,212.51821517944336,258.23864936828613,351.15430116653437,22.603995560350338,19.84691619873047,42.485833168029785,45.698034763336175,864.3793318455681,150,307344,75336
run_20250717_032310,meta-llama/Meta-Llama-3-8B,8,1,1,512,512,8,2.0,512,0.7,0.9,10676.540471712748,10783.854484558105,11396.79946899414,11804.372425079346,208.32518100738525,203.0022144317627,233.67369174957275,260.33071041107166,20.800251089775394,17.482280731201172,40.552616119384766,43.24393272399902,809.3927904090073,150,307344,75641
run_20250717_032519,meta-llama/Meta-Llama-3-8B,1,2,1,512,512,8,2.0,512,0.7,0.9,11563.256379763285,11812.208890914917,12149.077033996582,12268.946876525879,201.56559944152832,181.4723014831543,283.6268186569214,388.5929679870603,22.578570398667352,20.4775333404541,32.67621994018555,37.522315979003906,820.7811092949472,150,307344,75631
run_20250717_032725,meta-llama/Meta-Llama-3-8B,2,2,1,512,512,8,2.0,512,0.7,0.9,11805.420560836792,11939.597368240356,12407.390093803406,13389.051177501678,164.769180615743,162.1074676513672,176.18918418884277,240.57573080062858,23.157479960624897,21.6066837310791,30.001401901245117,34.227848052978516,795.9710975711885,150,307344,75551
run_20250717_032935,meta-llama/Meta-Llama-3-8B,4,2,1,512,512,8,2.0,512,0.7,0.9,12637.14927037557,12867.3495054245,13491.907286643982,13527.322824001312,163.33465417226157,159.18123722076416,180.52597045898438,232.34874010086057,24.77912278605398,25.165557861328125,29.412794113159183,34.39775466918945,896.853907579086,150,307344,75660
run_20250717_033138,meta-llama/Meta-Llama-3-8B,1,4,1,512,512,8,2.0,512,0.7,0.9,11341.25368754069,11505.772709846497,11871.124744415283,11957.888371944427,152.04803943634033,143.58878135681152,204.7901153564453,266.2460589408874,22.196393273758492,21.548986434936523,26.695871353149414,30.408620834350586,1013.7067134576502,150,307344,75765
run_20250717_033326,meta-llama/Meta-Llama-3-8B,2,4,1,512,512,8,2.0,512,0.7,0.9,12163.513539632162,12771.127462387085,12947.209596633911,13008.586220741272,140.0471305847168,136.96181774139404,153.1853199005127,225.981740951538,23.89210496207658,24.127721786499023,26.72863006591797,30.822825431823727,957.3050676399416,150,307344,75636
run_20250717_033521,meta-llama/Meta-Llama-3-8B,1,8,1,512,512,8,2.0,512,0.7,0.9,10761.596627235413,10894.421577453613,11106.27806186676,11173.267967700958,123.23456128438313,117.43283271789551,156.8421125411987,187.14596271514884,21.146732950012787,21.213293075561523,23.154258728027344,29.923439025878906,907.4557505955289,150,307344,75611
