Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,14.010787099999998,14.591514,16.5749502,17.25833814,13.975857486666664,14.52722,16.5595983,17.194698
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,39.03327220666667,40.731491,56.2448516,57.765567909999994,38.74609126000001,40.5420295,56.168876100000006,57.71920921
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,39.14984434666666,40.8197015,57.2465146,58.88647428,38.83980944666666,40.636144,57.160445,58.79826239
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,71.84862169333333,72.583692,96.0506973,99.36695551,64.84880951333334,64.75452899999999,95.795759,99.25330153
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,9.251873486666666,9.339295,9.9503887,10.42320288,9.241779653333333,9.325393,9.9440361,10.42193104
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,11.539712593333334,11.684299,13.7252691,14.73809073,11.504232786666668,11.6557465,13.5732044,14.73104757
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,9.957394133333334,10.220939000000001,12.104039599999998,13.480556159999999,9.920741213333335,10.072884,11.988735399999998,13.361266899999997
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,8.16692344,8.162873000000001,8.4718703,8.49856275,8.160751266666667,8.157671,8.4695765,8.490871760000001
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,8.65022058,8.5808335,9.285829999999999,9.64233686,8.644202666666667,8.576465500000001,9.2766901,9.63508566
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,7.79296914,7.82596,7.8671714,7.98808109,7.786632586666668,7.8195335,7.8617243,7.97972369
