Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
Qwen/Qwen2.5-7B,1,1,1,1.0,1.0,1.0,10.006747240000001,10.0954855,13.0190596,13.774452049999999,9.923061293333333,9.9376125,12.970718,13.75468092
Qwen/Qwen2.5-7B,1,2,1,1.0,2.0,1.0,7.890643173333333,7.969218,10.5261715,11.02221426,7.853474886666667,7.901648,10.516245,11.00915122
Qwen/Qwen2.5-7B,1,4,1,1.0,4.0,1.0,7.261747700000001,7.2819215,9.5266926,9.96315629,7.236295573333334,7.262362,9.4848386,9.9568048
Qwen/Qwen2.5-7B,2,1,1,2.0,1.0,1.0,7.445288766666666,7.5137505,9.495248199999999,9.83722925,7.42312624,7.4551525000000005,9.4852458,9.83379092
Qwen/Qwen2.5-7B,2,2,1,2.0,2.0,1.0,5.305940080000001,5.480512,6.5214466,6.74904824,5.294788133333333,5.44336,6.5185582,6.73865197
Qwen/Qwen2.5-7B,2,4,1,2.0,4.0,1.0,5.654208106666666,5.7769675,6.6105303,6.74030575,5.6464410733333334,5.7481165,6.6057597999999995,6.73802638
Qwen/Qwen2.5-7B,4,1,1,4.0,1.0,1.0,5.61949726,5.72489,6.384307199999999,6.45751934,5.61511888,5.7160055,6.376617899999999,6.45360156
Qwen/Qwen2.5-7B,4,2,1,4.0,2.0,1.0,4.070242966666666,4.2449034999999995,4.400411999999999,4.45401566,4.067358853333333,4.243912,4.3973047,4.44922524
Qwen/Qwen2.5-7B,8,1,1,8.0,1.0,1.0,4.858263766666666,4.9757324999999994,5.1096805,5.17955673,4.85420654,4.9694745000000005,5.1049405,5.17287141
