Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
2025-07-17_00-50-39-649410,meta-llama/Meta-Llama-3-8B,1,1,1,7.626362493333333,7.5694035,8.1160662,8.50425281,7.610638759999999,7.561135500000001,8.1040692,8.5017685
2025-07-17_00-51-22-315153,meta-llama/Meta-Llama-3-8B,1,8,1,4.176332713333334,4.1569475,4.2993049,4.401603889999999,4.171976633333333,4.155329500000001,4.2953399999999995,4.398085289999999
2025-07-17_00-52-08-950096,meta-llama/Meta-Llama-3-8B,2,1,1,7.2366382599999985,7.2485355,7.468486,7.6262016699999995,7.230551713333333,7.23745,7.461366,7.6231743000000005
2025-07-17_00-53-04-111352,meta-llama/Meta-Llama-3-8B,4,1,1,7.048976893333335,6.9692405,7.1413126,7.30652691,7.0457156266666665,6.957971,7.136079400000001,7.30519229
2025-07-17_00-54-13-014997,meta-llama/Meta-Llama-3-8B,8,1,1,6.956603453333332,6.951656,6.951656,7.1339770399999995,6.956547973333333,6.951656,6.951656,7.1339770399999995
