Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
Qwen/Qwen2.5-7B,1,1,1,1.0,1.0,1.0,9.914751073333333,10.4323315,12.843942799999999,13.349897689999999,9.881133513333333,10.408006,12.8105377,13.34799314
Qwen/Qwen2.5-7B,1,2,1,1.0,2.0,1.0,6.276053753333334,6.7675465,7.4738204999999995,7.684176620000001,6.257639626666667,6.739238,7.428077699999999,7.6807976700000005
Qwen/Qwen2.5-7B,1,4,1,1.0,4.0,1.0,6.3888007,6.799564500000001,7.2603215,7.3605203999999995,6.3772340199999995,6.7956505,7.2534735,7.35685248
Qwen/Qwen2.5-7B,2,1,1,2.0,1.0,1.0,6.2096719799999995,6.522267,6.9377059,7.04976664,6.201078926666666,6.5188315,6.9259582,7.04354746
Qwen/Qwen2.5-7B,2,2,1,2.0,2.0,1.0,4.277240966666666,4.368628,4.611329700000001,4.7422365200000005,4.27173606,4.364548,4.6089079,4.73766564
Qwen/Qwen2.5-7B,2,4,1,2.0,4.0,1.0,4.98835082,5.111942,5.3237918,5.36596829,4.983386106666666,5.109529,5.3191061,5.36197822
Qwen/Qwen2.5-7B,4,1,1,4.0,1.0,1.0,5.022883173333334,5.1116934999999994,5.2610223,5.32321451,5.018667246666667,5.108727999999999,5.2541532,5.3162154
Qwen/Qwen2.5-7B,4,2,1,4.0,2.0,1.0,3.676264573333333,3.710463,3.8222769999999997,3.88142868,3.672927106666666,3.7065115,3.8203405999999998,3.87962423
Qwen/Qwen2.5-7B,8,1,1,8.0,1.0,1.0,4.628071986666666,4.6741355,4.7477909,4.75233815,4.624493546666666,4.670655,4.7443427,4.74662839
