Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
2025-07-16_22-40-11-362517,meta-llama/Meta-Llama-3-8B,1,1,1,7.21202534,7.1954505,7.4880339000000005,7.61374748,7.202461646666667,7.1850755,7.4799296,7.60921255
2025-07-16_22-41-02-900548,meta-llama/Meta-Llama-3-8B,1,8,1,4.086621186666666,4.086845,4.1638994,4.21778465,4.083920486666668,4.079631,4.1590131,4.21559183
2025-07-16_22-41-59-291723,meta-llama/Meta-Llama-3-8B,2,1,1,7.058293999999999,7.081652999999999,7.2265435,7.26033562,7.054842746666666,7.081652999999999,7.2265435,7.25692544
2025-07-16_22-43-04-953878,meta-llama/Meta-Llama-3-8B,4,1,1,6.968029953333333,6.943055,7.0855483,7.11650377,6.9671263466666655,6.943055,7.0855483,7.11004769
2025-07-16_22-44-20-268655,meta-llama/Meta-Llama-3-8B,8,1,1,6.943054999999999,6.943055,6.943055,6.943055,6.943054999999999,6.943055,6.943055,6.943055
