Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,13.547807319999999,14.0386335,16.734497700000002,17.924120409999997,13.504068973333332,14.0267335,16.655534,17.90204958
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,8.544326346666667,8.59897,9.3123073,9.77557682,8.52520568,8.570477499999999,9.3109381,9.716297339999999
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,6.392509240000001,6.484105,6.9764371,7.1809720399999994,6.380288906666666,6.4638415,6.959015,7.13818503
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,4.8195386933333335,4.836126,5.1436284,5.24852557,4.809970106666667,4.834423,5.1359845,5.24375137
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,8.524599846666666,8.526156,9.2337463,9.731534680000001,8.512924213333335,8.5016085,9.1937547,9.724206650000001
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,7.339753646666665,7.385594,7.7001181999999995,7.81550071,7.332584746666668,7.376778,7.698135799999999,7.80676707
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,4.749485920000001,4.742227,4.8933037,5.125133459999999,4.74504262,4.739561500000001,4.8877588,5.121965059999999
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,7.547567533333333,7.58372,7.7845901,7.9401285999999995,7.5411673399999986,7.579057,7.7738890000000005,7.9360599800000005
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,6.891684906666666,6.9121765,7.032843300000001,7.06230288,6.885637913333333,6.911062,7.027281400000001,7.05570362
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,7.2217095733333325,7.2997805,7.317228,7.32349586,7.2152335800000005,7.294861,7.3104639,7.31765904
