Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,4.884292019999999,4.9133445,5.2447104,5.499985049999999,4.873494180000001,4.894921,5.2430808,5.49603785
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,3.35766392,3.3240775,3.6359524999999997,3.86848245,3.3507328800000002,3.321228,3.6296354,3.8401742699999994
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,4.444456786666667,4.4571315,4.6555906,4.73090837,4.437502619999999,4.4547755,4.646929,4.7245684699999995
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,4.100739413333334,4.1079145,4.3010643,4.3550282199999995,4.094873653333332,4.103662,4.2953790000000005,4.35352337
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,4.289571553333333,4.3129545,4.4268471,4.51068527,4.2859538200000005,4.3103750000000005,4.4240835,4.50465658
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,3.0937826866666667,3.0935075,3.1874284,3.25969371,3.0910757866666665,3.0906695,3.1843557000000002,3.25707301
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,4.1206915933333335,4.1146635,4.2014242,4.2535571700000006,4.116843779999999,4.1105985,4.1959555,4.2504627600000005
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,4.070065306666667,4.0757815,4.1601011,4.17854393,4.066198493333333,4.0715995,4.1550666000000005,4.17452766
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,3.004945033333333,2.9950145,3.0520880999999997,3.10637449,3.00280482,2.9924660000000003,3.048918,3.10235672
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,3.990723366666666,4.0069295,4.0151933,4.02686859,3.9881013133333334,4.0061535,4.011485,4.02221969
