Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
2025-07-23_21-18-03-151052,meta-llama/Meta-Llama-3-8B,1,1,1,23.165950086666665,23.2931235,29.078770300000002,30.73763199,22.927739773333336,22.869251,28.9492747,30.66704291
2025-07-23_21-18-33-688829,meta-llama/Meta-Llama-3-8B,1,2,1,17.95352563333333,18.1166805,22.958937300000002,23.681517189999997,17.871444920000002,18.000113,22.934636,23.65839576
2025-07-23_21-19-03-627246,meta-llama/Meta-Llama-3-8B,1,4,1,12.63944782,12.866141500000001,16.5442649,16.992280419999997,12.59468812666667,12.831977,16.4779075,16.98551694
2025-07-23_21-19-34-792353,meta-llama/Meta-Llama-3-8B,1,8,1,9.565688046666667,10.1602715,12.217244299999999,12.72315912,9.537864313333333,10.080933,12.167377,12.67895444
2025-07-23_21-20-06-152987,meta-llama/Meta-Llama-3-8B,2,1,1,16.441743433333333,16.626723,20.9061819,21.70342453,16.37023637333333,16.466592499999997,20.8923426,21.69857149
2025-07-23_21-20-38-970317,meta-llama/Meta-Llama-3-8B,2,2,1,11.94862844,12.2886495,14.551819199999999,14.843347119999999,11.925498473333334,12.205698,14.5501971,14.83559454
2025-07-23_21-21-11-672173,meta-llama/Meta-Llama-3-8B,2,4,1,8.019400186666665,8.412979,9.2273439,9.33888814,8.008023406666668,8.4080055,9.218232500000001,9.321477029999999
2025-07-23_21-21-46-097246,meta-llama/Meta-Llama-3-8B,4,1,1,11.41970996,11.809441,13.2431178,13.54229082,11.410842753333332,11.774075,13.2375616,13.535418550000001
2025-07-23_21-22-20-896605,meta-llama/Meta-Llama-3-8B,4,2,1,8.633317633333332,8.922305,9.4565088,9.53369696,8.626791326666666,8.916172,9.4528444,9.5294513
2025-07-23_21-22-56-716948,meta-llama/Meta-Llama-3-8B,8,1,1,8.820244333333333,9.072925000000001,9.433463999999999,9.56647669,8.813689246666666,9.069111,9.4239726,9.56134578
