,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.01827200000000005,0.05935999999999968,0.044757333333333045,0.05663999999999942,0.018760850395319155,0,8,2048,all_reduce,8,8
1,0.030079999999999926,0.06281700000000001,0.05058133333333331,0.05884699999999998,0.014586951391188286,0,8,10240,all_reduce,8,8
2,0.059711000000000014,0.06895999999999981,0.06311433333333329,0.060672000000000025,0.004152087373304511,0,8,18432,all_reduce,8,8
3,0.05859199999999987,0.0648380000000002,0.06100466666666671,0.05958400000000006,0.002740662855750329,0,8,26624,all_reduce,8,8
4,0.03142399999999998,0.03676800000000003,0.03320533333333333,0.03142399999999998,0.0025191857591072967,0,8,34816,all_reduce,8,8
5,0.05952099999999996,0.061529999999999974,0.060638333333333246,0.06086399999999981,0.0008355494532873994,0,8,43008,all_reduce,8,8
6,0.05913699999999995,0.05980099999999993,0.059485999999999956,0.05951999999999998,0.00027214089488105997,0,8,51200,all_reduce,8,8
7,0.056063000000000106,0.06220800000000008,0.05955166666666666,0.060383999999999785,0.0025767990910343275,0,8,59392,all_reduce,8,8
8,0.03203099999999995,0.05888000000000011,0.041002333333333356,0.032096000000000006,0.012641447183328753,0,8,67584,all_reduce,8,8
9,0.0572159999999999,0.0642550000000001,0.06061866666666666,0.060384999999999994,0.0028784058473784934,0,8,75776,all_reduce,8,8
10,0.03302499999999987,0.0612800000000002,0.04703000000000005,0.04678500000000008,0.011536356299398429,0,8,83968,all_reduce,8,8
11,0.03318500000000017,0.0921840000000002,0.06224833333333344,0.06137599999999998,0.024094137936205344,0,8,92160,all_reduce,8,8
12,0.03417600000000016,0.06064100000000008,0.04673100000000007,0.04537599999999998,0.010846691507859255,0,8,100352,all_reduce,8,8
13,0.03292800000000011,0.05958400000000006,0.043711999999999994,0.0386239999999998,0.011461570340344607,0,8,108544,all_reduce,8,8
14,0.05824000000000001,0.06371199999999999,0.06079999999999996,0.06044799999999987,0.002247757994091001,0,8,116736,all_reduce,8,8
15,0.04140700000000015,0.09433700000000021,0.06562133333333349,0.06112000000000012,0.02184174483770829,0,8,124928,all_reduce,8,8
16,0.056800999999999935,0.05955199999999991,0.0583236666666666,0.05861799999999994,0.0011422125702142912,0,8,133120,all_reduce,8,8
17,0.03292799999999988,0.033024000000000116,0.0329706666666666,0.03295999999999981,3.9911012125699714e-05,0,8,141312,all_reduce,8,8
18,0.033312000000000126,0.06006400000000008,0.05087966666666679,0.05926300000000015,0.012426519607498932,0,8,149504,all_reduce,8,8
19,0.033087999999999965,0.06204800000000023,0.04279466666666674,0.03324800000000005,0.013614319259106998,0,8,157696,all_reduce,8,8
20,0.03292800000000011,0.06083199999999988,0.046229333333333365,0.044928000000000114,0.011428864199424483,0,8,165888,all_reduce,8,8
21,0.03270399999999995,0.048447999999999866,0.03988266666666656,0.03849599999999987,0.006501821146588226,0,8,174080,all_reduce,8,8
22,0.033056000000000044,0.06764900000000011,0.05467799999999995,0.06332899999999972,0.015390446452263779,0,8,182272,all_reduce,8,8
23,0.05990499999999974,0.06742399999999998,0.06250699999999991,0.06019200000000001,0.0034788177110430846,0,8,190464,all_reduce,8,8
24,0.033027999999999794,0.0646400000000001,0.05285466666666661,0.06089599999999996,0.014102645551653026,0,8,198656,all_reduce,8,8
25,0.05964200000000028,0.061759999999999995,0.060595333333333425,0.060384000000000014,0.0008774878283421979,0,8,206848,all_reduce,8,8
26,0.04569100000000003,0.07407999999999992,0.063593,0.07100800000000004,0.01272060006446234,0,8,215040,all_reduce,8,8
27,0.033056000000000044,0.06425700000000006,0.05259766666666671,0.06048000000000002,0.013903812051216586,0,8,223232,all_reduce,8,8
28,0.057983999999999924,0.07679999999999973,0.06941866666666655,0.07347199999999998,0.00819888599478946,0,8,231424,all_reduce,8,8
29,0.0605440000000001,0.0775999999999999,0.07079466666666667,0.07424000000000001,0.007376969808502302,0,8,239616,all_reduce,8,8
30,0.07151999999999999,0.08025599999999986,0.07532799999999996,0.07420800000000008,0.003653329440387152,0,8,247808,all_reduce,8,8
31,0.07545600000000013,0.07692799999999989,0.07595733333333336,0.07548800000000006,0.0006864892974806085,0,8,256000,all_reduce,8,8
32,0.061248000000000045,0.07525900000000002,0.07035566666666668,0.07455999999999995,0.006446412145958028,0,8,264192,all_reduce,8,8
33,0.0755530000000001,0.07852800000000025,0.0769283333333335,0.07670400000000017,0.0012248538234781456,0,8,272384,all_reduce,8,8
34,0.0745600000000004,0.10441600000000018,0.08483200000000019,0.07551999999999999,0.01385352402820306,0,8,280576,all_reduce,8,8
35,0.060384999999999994,0.07702399999999988,0.07093399999999997,0.07539300000000003,0.007488929206947167,0,8,288768,all_reduce,8,8
36,0.06437599999999997,0.07430500000000029,0.07094200000000007,0.07414499999999999,0.004643322589123805,0,8,296960,all_reduce,8,8
37,0.07574300000000017,0.07723999999999978,0.07654099999999994,0.07663999999999987,0.000615143885607098,0,8,305152,all_reduce,8,8
38,0.06582399999999984,0.07766499999999997,0.07248033333333319,0.07395199999999977,0.004944806860625525,0,8,313344,all_reduce,8,8
39,0.07321599999999989,0.0746869999999999,0.0739303333333333,0.07388800000000015,0.0006012788223629883,0,8,321536,all_reduce,8,8
40,0.07238500000000021,0.07619100000000026,0.07410133333333352,0.07372800000000007,0.0015760588680489235,0,8,329728,all_reduce,8,8
41,0.03295999999999981,0.07459199999999964,0.06038433333333304,0.07360099999999965,0.019396151926491828,0,8,337920,all_reduce,8,8
