Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
run_20250715_235836,meta-llama/Meta-Llama-3-8B,1,1,1,512,512,8,2.0,512,0.7,0.9,12730.319023132324,13019.623875617981,13893.408942222595,13934.85515832901,269.5866584777832,263.35084438323975,345.5448627471925,468.9137959480286,24.627568041809432,22.472143173217773,44.672966003418004,54.443840980529714,588.3713314106212,30,61342,15209
run_20250715_235934,meta-llama/Meta-Llama-3-8B,2,1,1,512,512,8,2.0,512,0.7,0.9,10092.536266644796,9949.712991714478,10878.45013141632,11081.391541957855,209.63188807169595,206.41756057739258,229.87437248229983,248.04508924484253,19.457083140196865,17.759084701538086,18.851280212402344,45.34259557723999,464.4938362184533,30,61342,15268
run_20250716_000037,meta-llama/Meta-Llama-3-8B,4,1,1,512,512,8,2.0,512,0.7,0.9,10060.840368270874,10395.959258079529,10811.110234260559,10915.153398513794,217.55723158518472,214.1038179397583,252.66320705413818,255.97380876541138,19.469795791697408,17.45009422302246,20.238828659057614,43.895721435546875,591.2102252506617,30,61342,15197
run_20250716_000134,meta-llama/Meta-Llama-3-8B,8,1,1,512,512,8,2.0,512,0.7,0.9,11230.72523276011,11378.729581832886,12076.002502441406,12204.412355422974,220.41653792063394,209.19358730316162,265.578556060791,314.93055582046514,21.683787607766337,19.895315170288086,21.32959365844727,43.57492446899414,569.6837414565221,30,61342,15263
run_20250716_000237,meta-llama/Meta-Llama-3-8B,1,2,1,512,512,8,2.0,512,0.7,0.9,11693.860014279684,11770.220637321472,12120.01633644104,12471.831176280975,233.10794830322266,168.00415515899658,304.9600601196294,790.3905081748962,22.50441543280977,21.358251571655273,29.16574478149414,35.208096504211426,569.7737411308376,30,61342,15308
run_20250716_000420,meta-llama/Meta-Llama-3-8B,2,2,1,512,512,8,2.0,512,0.7,0.9,13166.674749056498,13221.112728118896,13437.133598327637,13482.831420898438,168.3629830678304,165.18592834472656,178.29649448394775,247.18487739562988,25.501878770959596,25.081396102905273,29.586315155029297,35.19918918609619,535.1719184666589,30,61342,15321
run_20250716_000545,meta-llama/Meta-Llama-3-8B,4,2,1,512,512,8,2.0,512,0.7,0.9,11426.506360371908,11455.42824268341,11976.092505455017,12126.175436973572,173.25926621754965,160.4166030883789,232.04667568206787,270.0051069259644,22.195744827967737,21.318554878234863,26.947927474975586,32.939651012420654,608.5456489490007,30,61342,15240
run_20250716_000710,meta-llama/Meta-Llama-3-8B,1,4,1,512,512,8,2.0,512,0.7,0.9,11103.789838155111,11147.1449136734,11390.419387817383,12011.879689693451,165.78869024912515,136.88278198242188,196.8409776687622,635.4234623909001,21.501860825748793,21.08478546142578,24.968624114990234,28.83005142211914,568.5916675923303,30,61342,15291
run_20250716_000812,meta-llama/Meta-Llama-3-8B,2,4,1,512,512,8,2.0,512,0.7,0.9,10935.986161231995,11040.83800315857,11154.741716384888,11221.334307193756,139.10284837086996,132.00032711029053,177.02531814575195,235.01803159713745,21.301222226971877,21.08907699584961,23.435592651367188,27.777910232543945,717.2527516278174,30,61342,15236
run_20250716_000939,meta-llama/Meta-Llama-3-8B,1,8,1,512,512,8,2.0,512,0.7,0.9,10880.747556686401,10857.461214065552,11377.060103416443,11982.26113319397,160.4883352915446,120.61011791229248,170.05355358123785,719.1025829315188,21.184878578284035,21.021127700805664,24.401187896728516,28.72776985168457,494.5967618831044,30,61342,15223
