Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,7.285561526666667,7.2546335,7.6333948,7.916978899999999,7.275786153333334,7.245606,7.624868599999999,7.9059466999999986
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,4.085107913333333,4.0820675,4.1716448,4.23542808,4.082447606666666,4.081764,4.1667202,4.2292774600000005
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,7.082692140000001,7.1268475,7.3060882,7.32532098,7.078931633333335,7.121619,7.3010005,7.32041999
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,6.979636899999999,6.951656,7.1333812000000005,7.13974309,6.978721033333333,6.951656,7.1333812000000005,7.13677794
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,6.951656,6.951656,6.951656,6.951656,6.951656,6.951656,6.951656,6.951656
