Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99
2025-07-17_00-55-29-105224,meta-llama/Meta-Llama-3-8B,1,1,1,7.285561526666667,7.2546335,7.6333948,7.916978899999999,7.275786153333334,7.245606,7.624868599999999,7.9059466999999986
2025-07-17_00-56-20-383844,meta-llama/Meta-Llama-3-8B,1,8,1,4.085107913333333,4.0820675,4.1716448,4.23542808,4.082447606666666,4.081764,4.1667202,4.2292774600000005
2025-07-17_00-57-15-710513,meta-llama/Meta-Llama-3-8B,2,1,1,7.082692140000001,7.1268475,7.3060882,7.32532098,7.078931633333335,7.121619,7.3010005,7.32041999
2025-07-17_00-58-21-614588,meta-llama/Meta-Llama-3-8B,4,1,1,6.979636899999999,6.951656,7.1333812000000005,7.13974309,6.978721033333333,6.951656,7.1333812000000005,7.13677794
2025-07-17_00-59-35-773757,meta-llama/Meta-Llama-3-8B,8,1,1,6.951656,6.951656,6.951656,6.951656,6.951656,6.951656,6.951656,6.951656
